[10:11:30	]Enistein has connected.
[10:12:01	]Enistein loaded the character 'Theodore Abernathy'
[10:12:09	]Theodore Abernathy entered observer.
[10:12:21	]Theodore Abernathy exited observer at their location.
[10:12:22	]Theodore Abernathy entered observer.
[10:12:22	]Theodore Abernathy exited observer at their location.
[10:13:03	]Theodore Abernathy entered observer.
[10:13:03	]Theodore Abernathy exited observer at their location.
[10:13:04	]Theodore Abernathy entered observer.
[10:20:31	]Theodore Abernathy has gone afk.
[10:23:16	]Theodore Abernathy is no longer afk. Total time spent AFK: 460
[10:23:23	]Theodore Abernathy used command '/ShowAllApartments'.
[10:29:16	]Theodore Abernathy has gone afk.
[10:43:21	]Theodore Abernathy is no longer afk. Total time spent AFK: 1140
[10:44:26	]Theodore Abernathy exited observer at their location.
[10:44:51	]Theodore Abernathy entered observer.
[10:44:51	]Theodore Abernathy exited observer at their location.
[10:44:54	]Theodore Abernathy entered observer.
[10:44:55	]Theodore Abernathy exited observer at their location.
[10:44:55	]Theodore Abernathy entered observer.
[10:44:57	]Theodore Abernathy exited observer at their location.
[10:44:59	]Theodore Abernathy ran SAM command 'respawn' with arguments: ''
[10:45:00	]Theodore Abernathy entered observer.
[10:45:01	]Theodore Abernathy exited observer at their location.
[10:45:01	]Theodore Abernathy entered observer.
[10:45:01	]Theodore Abernathy exited observer at their location.
[10:45:02	]Theodore Abernathy entered observer.
[10:45:02	]Theodore Abernathy exited observer at their location.
[10:50:21	]Theodore Abernathy entered observer.
[10:50:22	]Theodore Abernathy exited observer at their location.
[10:50:22	]Theodore Abernathy entered observer.
[10:50:23	]Theodore Abernathy exited observer at their location.
[10:50:23	]Theodore Abernathy entered observer.
[10:50:37	]Theodore Abernathy used command '/RemoveApartmentDoor'.
[10:50:44	]Theodore Abernathy used command '/RemoveApartmentDoor'.
[10:50:56	]Theodore Abernathy used command '/RemoveApartmentDoor'.
[10:50:57	]Theodore Abernathy used command '/RemoveApartmentDoor'.
[10:52:12	]Theodore Abernathy exited observer at their location.
[10:52:25	]Theodore Abernathy entered observer.
[10:53:13	]Theodore Abernathy has fired a toolgun with the name: advdupe2
[10:53:13	]Theodore Abernathy has spawned 'models/props_canal/canal_bars001.mdl'.
[10:53:13	]Theodore Abernathy has spawned 'models/props_wasteland/rockcliff_cluster01b.mdl'.
[10:53:13	]Theodore Abernathy has spawned 'models/props_wasteland/rockcliff06i.mdl'.
[10:53:13	]Theodore Abernathy has spawned 'models/props_wasteland/rockcliff05a.mdl'.
[10:53:13	]Theodore Abernathy has spawned 'models/props_canal/canal_bars001b.mdl'.
[10:53:16	]Theodore Abernathy has enabled persistence for 'models/props_canal/canal_bars001b.mdl'.
[10:53:16	]Theodore Abernathy has used a context menu option with the name: persist
[10:53:17	]Theodore Abernathy has enabled persistence for 'models/props_canal/canal_bars001.mdl'.
[10:53:17	]Theodore Abernathy has used a context menu option with the name: persist
[10:53:18	]Theodore Abernathy has enabled persistence for 'models/props_wasteland/rockcliff_cluster01b.mdl'.
[10:53:18	]Theodore Abernathy has used a context menu option with the name: persist
[10:53:22	]Theodore Abernathy has enabled persistence for 'models/props_wasteland/rockcliff06i.mdl'.
[10:53:22	]Theodore Abernathy has used a context menu option with the name: persist
[10:53:26	]Theodore Abernathy has enabled persistence for 'models/props_wasteland/rockcliff05a.mdl'.
[10:53:26	]Theodore Abernathy has used a context menu option with the name: persist
[10:53:52	]Theodore Abernathy exited observer at their location.
[10:54:00	]Theodore Abernathy entered observer.
[11:04:35	]Theodore Abernathy exited observer at their location.
[11:04:41	]Theodore Abernathy entered observer.
[11:04:51	]Theodore Abernathy exited observer at their location.
[11:04:52	]Theodore Abernathy entered observer.
[11:04:52	]Theodore Abernathy exited observer at their location.
[11:04:53	]Theodore Abernathy entered observer.
[11:04:53	]Theodore Abernathy exited observer at their location.
[11:04:54	]Theodore Abernathy entered observer.
[11:04:54	]Theodore Abernathy exited observer at their location.
[11:04:54	]Theodore Abernathy entered observer.
[11:05:13	]Theodore Abernathy exited observer at their location.
[11:05:18	]Theodore Abernathy entered observer.
[11:05:22	]Theodore Abernathy used command '/AreaEdit'.
[11:06:26	]Theodore Abernathy exited observer at their location.
[11:06:29	]Theodore Abernathy entered observer.
[11:06:30	]Theodore Abernathy exited observer at their location.
[11:06:30	]Theodore Abernathy entered observer.
[11:06:32	]Theodore Abernathy exited observer at their location.
[11:06:32	]Theodore Abernathy entered observer.
[11:06:33	]Theodore Abernathy exited observer at their location.
[11:06:34	]Theodore Abernathy entered observer.
[11:06:35	]Theodore Abernathy exited observer at their location.
[11:06:39	]Theodore Abernathy entered observer.
[11:06:52	]Theodore Abernathy exited observer at their location.
[11:08:13	]Theodore Abernathy entered observer.
[11:08:21	]Theodore Abernathy has spawned a 'NPC [5054][npc_combine_s]'.
[11:09:26	]Theodore Abernathy has spawned a 'NPC [5055][npc_combine_s]'.
[11:09:27	]Theodore Abernathy has spawned a 'NPC [5063][npc_combine_s]'.
[11:09:31	]Theodore Abernathy has spawned a 'NPC [5054][npc_combine_s]'.
[11:09:32	]Theodore Abernathy has spawned a 'NPC [5056][npc_combine_s]'.
[11:09:33	]Theodore Abernathy has spawned a 'NPC [5063][npc_combine_s]'.
[11:09:38	]Theodore Abernathy has spawned a 'NPC [5063][npc_combine_s]'.
[11:10:26	]Theodore Abernathy exited observer at their location.
[11:10:26	]Theodore Abernathy entered observer.
[11:12:51	]Theodore Abernathy used command '/ShowAllApartments'.
[11:13:08	]Theodore Abernathy used command '/SetApartmentDoor RB-C-01-01'.
[11:13:12	]Theodore Abernathy used command '/SetApartmentDoor RB-C-01-01'.
[11:13:15	]Theodore Abernathy used command '/SetApartmentDoor RB-C-02-01'.
[11:13:18	]Theodore Abernathy used command '/SetApartmentDoor RB-C-03-01'.
[11:13:23	]Theodore Abernathy used command '/RemoveApartmentDoor'.
[11:13:24	]Theodore Abernathy used command '/SetApartmentDoor RB-C-03-01'.
[11:14:10	]Theodore Abernathy used command '/ShowAllApartments'.
[11:15:00	]Theodore Abernathy used command '/ShowAllApartments'.
