[12:32:58	]bquits has connected.
[12:34:16	]bquits loaded the character 'Sıçmaya gidip geliyom'
[12:34:21	]Sıçmaya gidip geliyom entered observer.
[12:34:27	]Sıçmaya gidip geliyom used command '/AreaEdit'.
[12:35:06	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:35:06	]Sıçmaya gidip geliyom has spawned a 'Entity [1407][ix_trashspawner]'.
[12:35:07	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:35:07	]Sıçmaya gidip geliyom has spawned a 'Entity [1408][ix_trashspawner]'.
[12:35:09	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:35:09	]Sıçmaya gidip geliyom has spawned a 'Entity [1415][ix_trashspawner]'.
[12:35:10	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:35:10	]Sıçmaya gidip geliyom has spawned a 'Entity [1416][ix_trashspawner]'.
[12:35:13	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:35:13	]Sıçmaya gidip geliyom has spawned a 'Entity [1417][ix_trashspawner]'.
[12:35:17	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:35:17	]Sıçmaya gidip geliyom has spawned a 'Entity [1418][ix_trashspawner]'.
[12:35:19	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:35:19	]Sıçmaya gidip geliyom has spawned a 'Entity [1438][ix_trashspawner]'.
[12:35:21	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:35:21	]Sıçmaya gidip geliyom has spawned a 'Entity [1439][ix_trashspawner]'.
[12:35:23	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:35:23	]Sıçmaya gidip geliyom has spawned a 'Entity [1443][ix_trashspawner]'.
[12:35:34	]Sıçmaya gidip geliyom has used a context menu option with the name: remove
[12:35:45	]Sıçmaya gidip geliyom exited observer at their location.
[12:35:46	]Sıçmaya gidip geliyom entered observer.
[12:36:18	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:36:18	]Sıçmaya gidip geliyom has spawned a 'Entity [1433][ix_trashspawner]'.
[12:36:21	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:36:21	]Sıçmaya gidip geliyom has spawned a 'Entity [1434][ix_trashspawner]'.
[12:36:23	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:36:23	]Sıçmaya gidip geliyom has spawned a 'Entity [1444][ix_trashspawner]'.
[12:36:24	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:36:24	]Sıçmaya gidip geliyom has spawned a 'Entity [1445][ix_trashspawner]'.
[12:36:25	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:36:25	]Sıçmaya gidip geliyom has spawned a 'Entity [1446][ix_trashspawner]'.
[12:36:27	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:36:27	]Sıçmaya gidip geliyom has spawned a 'Entity [1447][ix_trashspawner]'.
[12:36:29	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:36:29	]Sıçmaya gidip geliyom has spawned a 'Entity [1449][ix_trashspawner]'.
[12:36:32	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:36:32	]Sıçmaya gidip geliyom has spawned a 'Entity [1450][ix_trashspawner]'.
[12:37:09	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:37:09	]Sıçmaya gidip geliyom has spawned a 'Entity [1450][ix_basiccontainer]'.
[12:37:14	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:37:14	]Sıçmaya gidip geliyom has spawned a 'Entity [1451][ix_basiccontainer]'.
[12:37:34	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:37:34	]Sıçmaya gidip geliyom has spawned a 'Entity [1452][ix_basiccontainer]'.
[12:37:35	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:37:35	]Sıçmaya gidip geliyom has spawned a 'Entity [1453][ix_basiccontainer]'.
[12:37:37	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:37:37	]Sıçmaya gidip geliyom has spawned a 'Entity [1452][ix_basiccontainer]'.
[12:37:38	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:37:38	]Sıçmaya gidip geliyom has spawned a 'Entity [1484][ix_basiccontainer]'.
[12:37:48	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:37:48	]Sıçmaya gidip geliyom has spawned a 'Entity [1452][ix_basiccontainer]'.
[12:37:53	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:37:53	]Sıçmaya gidip geliyom has spawned a 'Entity [1485][ix_basiccontainer]'.
[12:37:56	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:37:56	]Sıçmaya gidip geliyom has spawned a 'Entity [1487][ix_basiccontainer]'.
[12:37:57	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:37:57	]Sıçmaya gidip geliyom has spawned a 'Entity [1489][ix_basiccontainer]'.
[12:38:04	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:38:04	]Sıçmaya gidip geliyom has spawned a 'Entity [1492][ix_basiccontainer]'.
[12:38:05	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:38:05	]Sıçmaya gidip geliyom has spawned a 'Entity [1493][ix_basiccontainer]'.
[12:38:08	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:38:08	]Sıçmaya gidip geliyom has spawned a 'Entity [1494][ix_basiccontainer]'.
[12:38:09	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:38:09	]Sıçmaya gidip geliyom has spawned a 'Entity [1494][ix_basiccontainer]'.
[12:38:17	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:38:17	]Sıçmaya gidip geliyom has spawned a 'Entity [1495][ix_basiccontainer]'.
[12:38:25	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:38:25	]Sıçmaya gidip geliyom has spawned a 'Entity [1496][ix_basiccontainer]'.
[12:38:28	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:38:28	]Sıçmaya gidip geliyom has spawned a 'Entity [1568][ix_basiccontainer]'.
[12:38:32	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
[12:38:32	]Sıçmaya gidip geliyom has spawned a 'Entity [1569][ix_basiccontainer]'.
[12:38:34	]Sıçmaya gidip geliyom has fired a toolgun with the name: creator
