[13:58:17	]Revain has connected.
[13:58:30	]Remos has connected.
[13:59:17	]Remos loaded the character 'Charles Fabron'
[13:59:26	]Charles Fabron entered observer.
[13:59:48	]Revain loaded the character 'Revain On Duty'
[13:59:50	]Charles Fabron used command '/CharSetNeeds Charles'.
[13:59:53	]Revain On Duty is fully healed.
[13:59:55	]Revain On Duty entered observer.
[13:59:57	]Revain On Duty exited observer at their location.
[14:00:02	][Y] Revain On Duty: Şş çık bi.
[14:00:02	]Revain On Duty entered observer.
[14:00:04	]Revain On Duty exited observer at their location.
[14:00:04	]Revain On Duty entered observer.
[14:00:05	]Revain On Duty exited observer at their location.
[14:00:05	]Charles Fabron exited observer at their location.
[14:00:10	][IC] Revain On Duty: En son.
[14:00:15	][IC] Revain On Duty: Tunahan elledi.
[14:00:17	]Charles Fabron entered observer.
[14:00:18	][IC] Revain On Duty: Onlar elliyordu.
[14:00:19	]Revain On Duty entered observer.
[14:00:21	]Revain On Duty exited observer at their location.
[14:00:22	]Charles Fabron opened the 'Doktor Brooks'un Dosyaları' #2179 container.
[14:00:24	]Charles Fabron closed the 'Doktor Brooks'un Dosyaları' #2179 container.
[14:00:26	]Revain On Duty used command '/PM charles çık bi noclipten'.
[14:00:28	]Revain On Duty used command '/PM charles çık bi noclipten'.
[14:00:28	]Revain On Duty entered observer.
[14:00:33	]Revain On Duty exited observer at their location.
[14:00:35	][Y] Revain On Duty: ÇIKSANA.
[14:00:35	]Revain On Duty entered observer.
[14:00:37	]Revain On Duty exited observer at their location.
[14:00:38	]Revain On Duty entered observer.
[14:00:38	]Revain On Duty exited observer at their location.
[14:00:40	]Revain On Duty entered observer.
[14:00:43	]Charles Fabron opened the 'Doktor Brooks'un Tıbbi Malzemeleri' #2178 container.
[14:00:45	]Charles Fabron closed the 'Doktor Brooks'un Tıbbi Malzemeleri' #2178 container.
[14:00:45	]Revain On Duty exited observer at their location.
[14:00:46	]Revain On Duty entered observer.
[14:00:54	]Charles Fabron has set the password of the 'Doktor Brooks'un Tıbbi Malzemeleri' container (#2178).
[14:00:54	]Charles Fabron has used a context menu option with the name: wncontainer_setpassword
[14:01:05	]Revain On Duty exited observer at their location.
[14:01:08	]Charles Fabron exited observer at their location.
[14:01:09	]Charles Fabron entered observer.
[14:01:10	]Charles Fabron exited observer at their location.
[14:01:15	][IC] Revain On Duty: Aga.
[14:01:20	][IC] Revain On Duty: Bir tek tunahan değildi.
[14:01:27	][IC] Revain On Duty: Başka kim vardı hatırlamıyom.
[14:01:29	]Revain On Duty ran SAM command 'menu' with arguments: ''
[14:01:33	]Charles Fabron entered observer.
[14:01:35	]Charles Fabron exited observer at their location.
[14:01:35	]Charles Fabron entered observer.
