[13:30:05	]Revain has connected.
[13:31:32	]Revain loaded the character 'Sophia Emily'
[13:31:42	]Sophia Emily entered observer.
[13:31:46	]Sophia Emily ran SAM command 'menu' with arguments: ''
[13:32:00	]Revain (STEAM_0:1:608254786) has disconnected.
[14:05:20	]Handschar has connected.
[14:06:56	][AltChecker] Handschar joined for the first time, generating new cookie.
[14:08:48	]Handschar created the character 'Abuzer Kömürcü'
[14:08:48	]Handschar loaded the character 'Abuzer Kömürcü'
[14:08:48	]Abuzer Kömürcü has gained a 'Açık Gri Kol Bandı' #15475.
[14:08:48	]Abuzer Kömürcü has gained a '#88056 Kimlik Kartı' #15476.
[14:08:48	]Abuzer Kömürcü has gained a 'Gri Tulum' #15477.
[14:08:48	]Abuzer Kömürcü has gained a 'Siyah tulum pantolonu' #15478.
[14:10:17	]Abuzer Kömürcü has acquired his ration, gaining 0 credits, 0 wages and a ration ration.
[14:10:30	]Abuzer Kömürcü ran 'Open' on item 'Rasyon' (#15479)
[14:10:30	]Abuzer Kömürcü has gained a 'Yapay Macun' #15480.
[14:10:30	]Abuzer Kömürcü has gained a 'Breen'in Suyu' #15481.
[14:10:30	]Abuzer Kömürcü has gained a '15 Kredi Kuponu' #15482.
[14:11:04	]Handschar (STEAM_0:1:549390708) has disconnected.
[17:26:16	]Handschar has connected.
[17:27:58	]Handschar loaded the character 'Abuzer Kömürcü'
[17:31:49	]crat has connected.
[17:33:26	]crat loaded the character 'şartlar ve koşullar'
[17:33:41	]şartlar ve koşullar entered observer.
[17:33:59	]şartlar ve koşullar used command '/PM abuzer spawnla'.
[17:34:16	]şartlar ve koşullar ran SAM command 'goto' with arguments: 'abuzer'
[17:34:18	]şartlar ve koşullar exited observer at their location.
[17:35:06	]şartlar ve koşullar is fully healed.
[17:39:58	]Abuzer Kömürcü has gone afk.
[17:42:43	]Abuzer Kömürcü is no longer afk. Total time spent AFK: 460
[17:43:04	][IC] Abuzer Kömürcü: W.
[17:43:12	]şartlar ve koşullar entered observer.
[17:43:13	]şartlar ve koşullar exited observer at their location.
[17:43:15	][IC] şartlar ve koşullar: Baseyi.
[17:43:16	][IC] şartlar ve koşullar: Spawn et.
[17:43:33	][IC] şartlar ve koşullar: Konuşuyor musun.
[17:43:36	][IC] Abuzer Kömürcü: Bana.
[17:43:37	][IC] Abuzer Kömürcü: Toolgun.
[17:43:38	][IC] Abuzer Kömürcü: Verir misin.
[17:43:40	][IC] Abuzer Kömürcü: Çıkaramıyorum.
[17:43:47	]şartlar ve koşullar used command '/CharGiveFlag abuzer pet'.
[17:43:56	]şartlar ve koşullar entered observer.
[17:43:59	]şartlar ve koşullar exited observer at their location.
[17:44:01	]şartlar ve koşullar ran SAM command 'bring' with arguments: 'abuzer'
[17:44:07	]şartlar ve koşullar entered observer.
[17:44:12	]şartlar ve koşullar exited observer at their location.
[17:44:21	][IC] Abuzer Kömürcü: Sol tık.
[17:44:21	]şartlar ve koşullar is fully healed.
[17:44:22	][IC] Abuzer Kömürcü: Bsaamıyorum.
[17:44:27	]şartlar ve koşullar entered observer.
[17:44:28	]şartlar ve koşullar exited observer at their location.
[17:44:28	]şartlar ve koşullar entered observer.
[17:44:29	]şartlar ve koşullar exited observer at their location.
[17:44:31	]şartlar ve koşullar has fired a toolgun with the name: camera
[17:44:34	][IC] Abuzer Kömürcü: Bana admin verebiliyor msunu.
[17:44:39	]şartlar ve koşullar has used a context menu option with the name: remove
[17:44:42	][IC] şartlar ve koşullar: Yok o yetki.
