[00:34:29	]Recik has connected.
[00:35:16	]Recik loaded the character 'dadaddadsdas'
[00:35:30	]dadaddadsdas has spawned a weather_brown.
[00:35:38	]dadaddadsdas has spawned a raincoat_murky.
[00:35:42	]dadaddadsdas ran 'take' on item 'Murky Raincoat' (#3477)
[00:35:42	]dadaddadsdas has gained a 'Murky Raincoat' #3477.
[00:35:43	]dadaddadsdas ran 'take' on item 'Brown Weather Jacket' (#3476)
[00:35:43	]dadaddadsdas has gained a 'Brown Weather Jacket' #3476.
[00:37:32	]dadaddadsdas ran 'drop' on item 'Civilian Jumpsuit' (#2951)
[00:37:32	]dadaddadsdas has lost a 'Civilian Jumpsuit' #2951.
[00:37:32	]dadaddadsdas ran 'drop' on item 'Murky Raincoat' (#3477)
[00:37:32	]dadaddadsdas has lost a 'Murky Raincoat' #3477.
[00:39:54	]dadaddadsdas has fired a toolgun with the name: camera
[00:42:21	]dadaddadsdas has fired a toolgun with the name: lamp
[00:53:13	]dadaddadsdas has spawned a largebag.
[00:53:16	]dadaddadsdas has given himself a largebag.
[00:53:16	]dadaddadsdas has gained a 'Large Bag' #3479.
[00:56:30	]Recik (STEAM_0:1:57940784) has disconnected.
[17:19:04	]Inkaaz has connected.
[17:19:38	]Inkaaz (STEAM_0:0:50287200) deleted character 'admin miasta'
[17:30:36	]Inkaaz loaded the character 'Hiroto Nakamura'
[17:33:26	]Pozytyw has connected.
[17:33:57	]Pozytyw loaded the character 'C24:RL.GRID-07'
[17:34:07	]C24:RL.GRID-07 ran 'Equip' on item 'USP-45' (#2865)
[17:34:22	]C24:RL.GRID-07 has lost a '17rnd Usp-magazine' #2866.
[17:34:53	]Inkaaz has unloaded their "Hiroto Nakamura" character.
[17:34:59	]C24:RL.GRID-07 entered observer.
[17:35:00	]C24:RL.GRID-07 exited observer at their location.
[17:35:01	]C24:RL.GRID-07 entered observer.
[17:35:03	]C24:RL.GRID-07 exited observer at their location.
[17:35:05	]C24:RL.GRID-07 entered observer.
[17:35:06	]C24:RL.GRID-07 exited observer at their location.
[17:35:19	]C24:RL.GRID-07 entered observer.
[17:35:21	]C24:RL.GRID-07 exited observer at their location.
[17:35:29	]C24:RL.GRID-07 used command '/Doorkick'.
[17:35:57	]C24:RL.GRID-07 entered observer.
[17:36:00	]C24:RL.GRID-07 exited observer at their location.
[17:36:08	]C24:RL.GRID-07 entered observer.
[17:36:26	]C24:RL.GRID-07 exited observer at their location.
[17:37:24	]jokaz 🗿 has connected.
[17:37:41	]C24:RL.GRID-07 entered observer.
[17:37:43	]C24:RL.GRID-07 exited observer at their location.
[17:37:49	]C24:RL.GRID-07 entered observer.
[17:37:52	]C24:RL.GRID-07 exited observer at their location.
[17:38:00	]C24:RL.GRID-07 entered observer.
[17:38:01	]C24:RL.GRID-07 exited observer at their location.
[17:38:06	]C24:RL.GRID-07 entered observer.
[17:38:08	]C24:RL.GRID-07 exited observer at their location.
[17:38:12	]C24:RL.GRID-07 entered observer.
[17:38:13	]C24:RL.GRID-07 exited observer at their location.
[17:38:53	]jokaz 🗿 loaded the character 'Mirek Gurdzołek'
[17:38:58	]Mirek Gurdzołek is fully healed.
[17:39:18	]C24:RL.GRID-07 entered observer.
[17:39:24	]jokaz 🗿 loaded the character 'Kristoph Kononowitz'
[17:39:25	]C24:RL.GRID-07 exited observer at their location.
[17:39:26	]C24:RL.GRID-07 entered observer.
[17:39:29	]Kristoph Kononowitz is fully healed.
[17:39:31	]C24:RL.GRID-07 exited observer at their location.
[17:40:06	]Inkaaz has gone afk.
[17:40:14	]C24:RL.GRID-07 used command '/Doorkick'.
[17:40:44	]C24:RL.GRID-07 used command '/Doorkick'.
[17:40:52	]C24:RL.GRID-07 used command '/Doorkick'.
[17:41:29	]C24:RL.GRID-07 used command '/Doorkick'.
[17:41:31	]C24:RL.GRID-07 used command '/Doorkick'.
[17:41:36	]C24:RL.GRID-07 used command '/Doorkick'.
[17:41:45	]C24:RL.GRID-07 used command '/Doorkick'.
[17:41:54	]C24:RL.GRID-07 entered observer.
[17:41:56	]C24:RL.GRID-07 exited observer at their location.
[17:41:57	]C24:RL.GRID-07 used command '/Doorkick'.
[17:42:13	]C24:RL.GRID-07 entered observer.
[17:42:15	]C24:RL.GRID-07 exited observer at their location.
[17:42:18	]C24:RL.GRID-07 entered observer.
[17:42:22	]C24:RL.GRID-07 exited observer at their location.
[17:42:27	]C24:RL.GRID-07 entered observer.
[17:42:29	]C24:RL.GRID-07 exited observer at their location.
[17:42:36	]C24:RL.GRID-07 entered observer.
[17:42:37	]C24:RL.GRID-07 exited observer at their location.
[17:42:40	]C24:RL.GRID-07 entered observer.
[17:42:42	]C24:RL.GRID-07 exited observer at their location.
[17:43:07	][IC] C24:RL.GRID-07: <:: 10-97. ::>
[17:43:10	][IC] C24:RL.GRID-07: <:: 10-97; that suspect is GOA. ::>
[17:43:18	][IC] C24:RL.GRID-07: <:: 10-97. ::>
[17:43:18	][IC] C24:RL.GRID-07: <:: 10-97; that suspect is GOA. ::>
[17:43:28	]C24:RL.GRID-07 used command '/Doorkick'.
[17:43:40	]C24:RL.GRID-07 entered observer.
[17:43:42	]C24:RL.GRID-07 exited observer at their location.
[17:43:49	]C24:RL.GRID-07 used command '/Doorkick'.
[17:44:40	]C24:RL.GRID-07 entered observer.
[17:44:41	]C24:RL.GRID-07 exited observer at their location.
[17:44:53	]C24:RL.GRID-07 used command '/Doorkick'.
[17:45:06	]C24:RL.GRID-07 entered observer.
[17:45:07	]C24:RL.GRID-07 exited observer at their location.
[17:45:17	]C24:RL.GRID-07 used command '/Doorkick'.
[17:45:31	]C24:RL.GRID-07 entered observer.
[17:45:33	]C24:RL.GRID-07 exited observer at their location.
[17:45:43	]C24:RL.GRID-07 entered observer.
[17:45:46	]C24:RL.GRID-07 exited observer at their location.
[17:45:48	]C24:RL.GRID-07 entered observer.
[17:45:56	]C24:RL.GRID-07 exited observer at their location.
[17:46:12	]C24:RL.GRID-07 entered observer.
[17:46:19	]C24:RL.GRID-07 exited observer at their location.
[17:46:26	]C24:RL.GRID-07 entered observer.
[17:46:32	]C24:RL.GRID-07 exited observer at their location.
[17:46:33	]C24:RL.GRID-07 entered observer.
[17:46:33	]C24:RL.GRID-07 exited observer at their location.
[17:46:36	]C24:RL.GRID-07 entered observer.
[17:46:40	]C24:RL.GRID-07 exited observer at their location.
[17:47:00	]C24:RL.GRID-07 ran 'Equip' on item 'M4A1' (#2065)
[17:47:00	]C24:RL.GRID-07 has lost a '30rnd M4-magazine' #2526.
[17:47:18	]C24:RL.GRID-07 has given himself a flash_grenade.
[17:47:18	]C24:RL.GRID-07 has gained a 'Flash Grenade' #3480.
[17:47:20	]C24:RL.GRID-07 ran 'Equip' on item 'Flash Grenade' (#3480)
[17:47:30	]C24:RL.GRID-07 has gained a '30rnd M4-magazine' #2526.
[17:47:30	]C24:RL.GRID-07 has lost a '30rnd M4-magazine' #2210.
[17:48:09	]C24:RL.GRID-07 has gained a '30rnd M4-magazine' #2210.
[17:48:09	]C24:RL.GRID-07 has lost a '30rnd M4-magazine' #2526.
[17:48:17	]C24:RL.GRID-07 has gained a '30rnd M4-magazine' #2526.
[17:48:17	]C24:RL.GRID-07 has lost a '30rnd M4-magazine' #2210.
[17:48:56	]C24:RL.GRID-07 entered observer.
[17:49:28	]C24:RL.GRID-07 exited observer at their location.
[17:50:50	]C24:RL.GRID-07 entered observer.
[17:50:51	]C24:RL.GRID-07 exited observer at their location.
[17:52:31	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:52:33	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:52:34	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:52:36	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:52:38	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:52:39	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:52:39	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:52:40	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:52:42	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:52:44	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:52:45	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:52:46	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:52:47	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:52:49	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:52:50	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:52:52	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:53:05	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:53:06	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:53:07	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:53:45	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:54:33	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:54:34	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:54:35	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:54:36	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:54:37	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:54:38	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:54:39	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:54:40	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:54:46	]C24:RL.GRID-07 used command '/ActSit'.
[17:54:47	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:54:58	]C24:RL.GRID-07 used command '/ExitAct'.
[17:55:04	]C24:RL.GRID-07 has gained a '17rnd Usp-magazine' #2866.
[17:55:04	]C24:RL.GRID-07 has gained a '30rnd M4-magazine' #2210.
[17:55:04	]C24:RL.GRID-07 was knocked unconscious and is bleeding out.
[17:55:06	]C24:RL.GRID-07 used command '/CharGetUp'.
[17:55:18	]C24:RL.GRID-07 was killed while bleeding out.
[17:55:18	]worldspawn has killed C24:RL.GRID-07.
[17:55:26	]C24:RL.GRID-07 entered observer.
[17:55:32	]C24:RL.GRID-07 exited observer at their location.
[17:55:39	]C24:RL.GRID-07 entered observer.
[17:55:43	]C24:RL.GRID-07 exited observer at their location.
[17:55:44	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:55:49	]C24:RL.GRID-07 ran 'Equip' on item 'USP-45' (#2865)
[17:55:50	]C24:RL.GRID-07 has lost a '17rnd Usp-magazine' #2866.
[17:55:56	]C24:RL.GRID-07 has hit Kristoph Kononowitz in the head dealing 0 damage (CritChance was 0.90).
[17:55:56	]C24:RL.GRID-07 has critically hit Kristoph Kononowitz in the head dealing 0 damage (CritChance was 0.90).
[17:55:56	]C24:RL.GRID-07 has critically hit Kristoph Kononowitz in the head dealing 0 damage (CritChance was 0.90).
[17:55:56	]C24:RL.GRID-07 has critically hit Kristoph Kononowitz in the head dealing 0 damage (CritChance was 0.90).
[17:55:56	]C24:RL.GRID-07 has critically hit Kristoph Kononowitz in the head dealing 0 damage (CritChance was 0.90).
[17:55:56	]C24:RL.GRID-07 has critically hit Kristoph Kononowitz in the head dealing 0 damage (CritChance was 0.90).
[17:55:56	]C24:RL.GRID-07 has critically hit Kristoph Kononowitz in the head dealing 0 damage (CritChance was 0.90).
[17:55:56	]C24:RL.GRID-07 has critically hit Kristoph Kononowitz in the head dealing 10 damage (CritChance was 0.90).
[17:55:56	]Kristoph Kononowitz has taken 10 damage from C24:RL.GRID-07.
[17:55:56	]C24:RL.GRID-07 has critically hit Kristoph Kononowitz in the left arm dealing 0 damage (CritChance was 0.90).
[17:55:56	]C24:RL.GRID-07 has critically hit Kristoph Kononowitz in the left arm dealing 0 damage (CritChance was 0.90).
[17:55:56	]C24:RL.GRID-07 has critically hit Kristoph Kononowitz in the left arm dealing 0 damage (CritChance was 0.90).
[17:55:56	]C24:RL.GRID-07 has critically hit Kristoph Kononowitz in the left arm dealing 3 damage (CritChance was 0.90).
[17:55:56	]Kristoph Kononowitz has taken 2 damage from C24:RL.GRID-07.
[17:55:57	]C24:RL.GRID-07 has critically hit Kristoph Kononowitz in the chest dealing 0 damage (CritChance was 0.90).
[17:55:57	]C24:RL.GRID-07 has hit Kristoph Kononowitz in the chest dealing 0 damage (CritChance was 0.90).
[17:55:57	]C24:RL.GRID-07 has critically hit Kristoph Kononowitz in the chest dealing 0 damage (CritChance was 0.90).
[17:55:57	]C24:RL.GRID-07 has critically hit Kristoph Kononowitz in the chest dealing 0 damage (CritChance was 0.90).
[17:55:57	]C24:RL.GRID-07 has critically hit Kristoph Kononowitz in the chest dealing 9 damage (CritChance was 0.90).
[17:55:57	]Kristoph Kononowitz has taken 9 damage from C24:RL.GRID-07.
[17:55:58	]C24:RL.GRID-07 has critically hit Kristoph Kononowitz in the right leg dealing 0 damage (CritChance was 0.90).
[17:55:58	]C24:RL.GRID-07 has critically hit Kristoph Kononowitz in the left leg dealing 3 damage (CritChance was 0.90).
[17:55:58	]Kristoph Kononowitz has taken 2 damage from C24:RL.GRID-07.
[17:55:58	]C24:RL.GRID-07 has critically hit Kristoph Kononowitz in the stomach dealing 9 damage (CritChance was 0.90).
[17:55:58	]Kristoph Kononowitz has taken 9 damage from C24:RL.GRID-07.
[17:55:59	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:55:59	]C24:RL.GRID-07 has critically hit Kristoph Kononowitz in the stomach dealing 0 damage (CritChance was 0.90).
[17:55:59	]C24:RL.GRID-07 has critically hit Kristoph Kononowitz in the right arm dealing 3 damage (CritChance was 0.90).
[17:55:59	]Kristoph Kononowitz has taken 2 damage from C24:RL.GRID-07.
[17:56:01	]C24:RL.GRID-07 entered observer.
[17:56:05	]C24:RL.GRID-07 exited observer at their location.
[17:56:07	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:56:10	]C24:RL.GRID-07 ran 'removeMag' on item 'USP-45' (#2865)
[17:56:10	]C24:RL.GRID-07 has gained a '17rnd Usp-magazine' #2866.
[17:56:12	]C24:RL.GRID-07 ran 'combine' on item '17rnd Usp-magazine' (#2866)
[17:56:13	]C24:RL.GRID-07 has lost a '17rnd Usp-magazine' #2866.
[17:56:16	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:56:21	]C24:RL.GRID-07 entered observer.
[17:56:28	]C24:RL.GRID-07 exited observer at their location.
[17:56:30	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:56:32	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:56:49	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:56:50	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:56:58	]C24:RL.GRID-07 entered observer.
[17:56:59	]C24:RL.GRID-07 exited observer at their location.
[17:57:04	]C24:RL.GRID-07 entered observer.
[17:57:12	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:57:12	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:57:15	]C24:RL.GRID-07 exited observer at their location.
[17:57:19	]C24:RL.GRID-07 entered observer.
[17:57:22	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:57:23	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:57:25	]C24:RL.GRID-07 exited observer at their location.
[17:57:31	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:57:34	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:57:35	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:57:37	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:57:37	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
[17:57:39	]Kristoph Kononowitz ran SAM command 'noclip' with arguments: ''
