[18:05:43	]Lynx has connected.
[18:07:12	]Lynx loaded the character 'John Hector'
[18:09:01	]Scientist has connected.
[18:09:56	]John Hector used the 'SMB Teçhizat Dağıtıcısı' vendor.
[18:10:06	]John Hector has gained 0 chips.
[18:10:06	]John Hector has gained a 'Morfin' #18689.
[18:10:11	]John Hector has gained 0 chips.
[18:10:11	]John Hector has gained a 'Bandaj Rulosu' #18690.
[18:10:18	]John Hector ran 'use' on item 'Morfin' (#16906)
[18:10:18	]John Hector has performed the 'Use Morfin' action, gaining 6 experience in medicine.
[18:10:18	]John Hector has gained a level 4 short boost in Güç.
[18:10:23	]John Hector ran 'use' on item 'Bandaj Rulosu' (#18375)
[18:10:23	]John Hector has performed the 'Use Bandaj Rulosu' action, gaining 6 experience in medicine.
[18:10:23	]John Hector was bandaged by John Hector for 18 HP.
[18:10:25	]John Hector ran 'use' on item 'Bandaj Rulosu' (#18375)
[18:10:25	]John Hector was bandaged by John Hector for 18 HP.
[18:10:25	]John Hector ran 'use' on item 'Bandaj Rulosu' (#18375)
[18:10:25	]John Hector was bandaged by John Hector for 18 HP.
[18:10:32	]John Hector ran 'combine' on item 'Morfin' (#18689)
[18:10:35	]John Hector ran 'combine' on item 'Morfin' (#18689)
[18:10:37	]John Hector ran 'combine' on item 'Morfin' (#18689)
[18:10:38	]John Hector ran 'combine' on item 'Morfin' (#16906)
[18:11:22	]John Hector is fully healed.
[18:12:25	]Scientist loaded the character 'C24:i3.VICE-66[E]'
[18:14:10	]C24:i3.VICE-66[E] ran 'EquipUn' on item 'Combine PDA' (#14475)
[18:14:10	]C24:i3.VICE-66[E] ran 'EquipUn' on item 'MP5A3' (#15649)
[18:14:10	]C24:i3.VICE-66[E] has gained a '30rnd MP-şarjörü' #15664.
[18:14:11	]C24:i3.VICE-66[E] ran 'EquipUn' on item 'Stunstick' (#14559)
[18:14:13	]C24:i3.VICE-66[E] ran 'Equip' on item 'Stunstick' (#14559)
[18:14:14	]C24:i3.VICE-66[E] ran 'Equip' on item 'Combine PDA' (#14475)
[18:14:14	]C24:i3.VICE-66[E] ran 'Equip' on item 'MP5A3' (#15649)
[18:14:27	]C24:i3.VICE-66[E] ran 'use' on item 'Bandaj Rulosu' (#17086)
[18:14:27	]C24:i3.VICE-66[E] was bandaged by C24:i3.VICE-66[E] for 18 HP.
[18:15:14	][IC] C24:i3.VICE-66[E]: <:: Doktor. ::>
[18:15:23	][IC] C24:i3.VICE-66[E]: <:: Kıyafetimin ardında çizik var. ::>
[18:15:41	][IC] C24:i3.VICE-66[E]: <:: Oraya dezenfekte kumaşla yapmıştım. ::>
[18:15:44	][IC] C24:i3.VICE-66[E]: <:: Ama hala ağrıyor. ::>
[18:15:53	][IC] John Hector: İlgileneyim efendim takip edin.
[18:16:14	][IC] John Hector: Buyrun oturun.
[18:16:25	]C24:i3.VICE-66[E] used command '/ActSit'.
[18:16:26	]C24:i3.VICE-66[E] used command '/ExitAct'.
[18:16:32	]C24:i3.VICE-66[E] used command '/ActSit'.
[18:16:39	]C24:i3.VICE-66[E] used command '/ExitAct'.
[18:17:00	]C24:i3.VICE-66[E] is fully healed.
[18:17:14	]C24:i3.VICE-66[E] used command '/ActSitWall'.
[18:17:23	]C24:i3.VICE-66[E] used command '/ExitAct'.
[18:17:31	]John Hector used command '/ActSitWall'.
[18:17:36	]John Hector used command '/ExitAct'.
[18:17:50	][IC] John Hector: Efendim isterseniz uzanın bakayım yaranıza.
[18:17:55	][ME] C24:i3.VICE-66[E]: delik kısmındaki fermuarı açar v egösteirir
[18:17:56	][IC] C24:i3.VICE-66[E]: <:: Tamamdır. ::>
[18:18:02	]C24:i3.VICE-66[E] used command '/CharFallOver'.
[18:18:11	]C24:i3.VICE-66[E] used command '/CharGetUp'.
[18:18:12	]C24:i3.VICE-66[E] used command '/CharGetUp'.
[18:18:12	]C24:i3.VICE-66[E] used command '/CharGetUp'.
[18:18:17	]C24:i3.VICE-66[E] used command '/CharGetUp'.
[18:18:28	]C24:i3.VICE-66[E] used command '/ActArrest'.
[18:18:30	]C24:i3.VICE-66[E] used command '/ExitAct'.
[18:18:39	]C24:i3.VICE-66[E] used command '/ActInjured'.
[18:18:41	]C24:i3.VICE-66[E] used command '/ExitAct'.
[18:18:47	]C24:i3.VICE-66[E] used command '/ActInjured'.
[18:18:51	]C24:i3.VICE-66[E] used command '/ExitAct'.
[18:18:56	]C24:i3.VICE-66[E] used command '/ActInjured'.
[18:19:24	][ME] John Hector: koluna damar yolu açar.
[18:19:46	][ME] John Hector: şırıngayı bantlayarak sabitler.
[18:20:06	][ME] John Hector: serum borusundan şırınga ile narkoz enjekte eder.
[18:20:18	][IC] C24:i3.VICE-66[E]: <:: Narkoz mu. ::>
[18:20:20	][IC] C24:i3.VICE-66[E]: <:: Bekleyin. ::>
[18:20:28	]C24:i3.VICE-66[E] used command '/Radio 10-7 hastane tedavide'.
[18:21:10	][IT] John Hector: kişi 20 saniye içinde bayılacaktır.
[18:21:14	][IC] C24:i3.VICE-66[E]: <:: Kan grubumun 0+. ::>
[18:21:19	]Victorian has connected.
[18:21:20	][IC] John Hector: Tamamdır.
[18:22:08	][IT] John Hector: kişi bayılmıştır.
[18:23:10	][ME] John Hector: maskesini ve eldivenini takar.
[18:23:20	][ME] John Hector: kişiyi yüz üstü döndürür.
[18:24:08	][IT] John Hector: kişinin sırtında ne görmekteyim?
[18:24:34	][IT] C24:i3.VICE-66[E]: zombi eli tarafından çizilmiş bir yara
[18:25:02	][IT] John Hector: yaranın derinliği kaç cm?
[18:25:20	][IT] C24:i3.VICE-66[E]: 1cm
[18:26:17	][ME] John Hector: yarayı inceler.
[18:26:43	]C24:i3.VICE-66[E] used command '/ExitAct'.
[18:26:50	]C24:i3.VICE-66[E] used command '/ActInjured'.
[18:26:51	]C24:i3.VICE-66[E] used command '/ExitAct'.
[18:26:56	]C24:i3.VICE-66[E] used command '/ActInjured'.
[18:27:43	][IT] John Hector: Yaranın çapı kaç cm?
[18:27:51	][IT] C24:i3.VICE-66[E]: 3cm
[18:28:03	]doctor sex has connected.
[18:28:12	][ME] John Hector: bölgeyi oksijenli bez ile dezenfekte eder.
[18:28:56	]doctor sex loaded the character 'John Freeman'
[18:30:07	][ME] John Hector: antiseptik solüsyon ile bölgenin enfeksiyon kapmasını önler ve bakterileri bertaraf eder.
[18:30:37	][ME] John Hector: bölgeye antiseptik krem olan savlonu sürer.
[18:30:44	][ME] John Hector: sargı bezi ile yarayı kapar
[18:31:22	][ME] John Hector: flaster yapıştırarak sağlama alır.
[18:31:59	]Victorian created the character 'Dugurhan Cohar'
[18:32:00	]Dugurhan Cohar has gained a 'Açık Gri Kol Bandı' #18691.
[18:32:00	]Dugurhan Cohar has gained a '#03454 Kimlik Kartı' #18692.
[18:32:00	]Dugurhan Cohar has gained a 'Gri Tulum' #18693.
[18:32:00	]Dugurhan Cohar has gained a 'Siyah tulum pantolonu' #18694.
[18:32:00	]Dugurhan Cohar has gained a 'Eskimiş Koyu Ayakkabı' #18695.
[18:32:00	]Dugurhan Cohar has gained a 'Gözlükler' #18696.
[18:32:00	]Victorian loaded the character 'Dugurhan Cohar'
[18:32:24	]Dugurhan Cohar ran 'Equip' on item 'Açık Gri Kol Bandı' (#18691)
[18:32:24	]C24:i3.VICE-66[E] used command '/PM a'.
[18:32:25	]Dugurhan Cohar entered observer.
[18:32:51	]Dugurhan Cohar has used a context menu option with the name: skin
[18:32:56	]Dugurhan Cohar exited observer at their location.
[18:33:05	]Dugurhan Cohar entered observer.
