[08:39:33	]Revain has connected.
[08:40:32	]Revain loaded the character 'Simon Hayes'
[08:40:52	]Simon Hayes entered observer.
[08:41:09	]Simon Hayes exited observer at their location.
[08:41:13	]Simon Hayes entered observer.
[08:41:26	]Simon Hayes has used a context menu option with the name: ixpropviewowner
[08:43:07	]Simon Hayes has used a context menu option with the name: rb655_door_open
[08:43:11	]Simon Hayes exited observer at their location.
[08:43:39	]Simon Hayes entered observer.
[08:44:03	]Simon Hayes opened the 'Simonun Dolabı' #7011 container.
[08:44:06	]Simon Hayes closed the 'Simonun Dolabı' #7011 container.
[08:44:27	]Simon Hayes exited observer at their location.
[08:44:30	]Revain (STEAM_0:1:608254786) has disconnected.
[09:55:13	]Mersa has connected.
[10:00:52	]Mersa loaded the character 'S10/OWH.GHOST-72'
[10:01:14	]S10/OWH.GHOST-72 entered observer.
[10:01:19	]S10/OWH.GHOST-72 exited observer at their location.
[10:01:42	][IC] S10/OWH.GHOST-72: <:: Copy, accepted. Updating cognitive suppression biodats. Update complete in t-minus three seconds. Dissonance resolved. ::>
[10:01:54	][IC] S10/OWH.GHOST-72: <:: Wallhammer, advancing on target. ::>
[10:02:03	][IC] S10/OWH.GHOST-72: <:: Rahh. ::>
[10:02:27	][IC] S10/OWH.GHOST-72: <:: ...is quiet, requesting replacement. ::>
[10:02:46	][IC] S10/OWH.GHOST-72: <:: Sound on, annnd reporting all contaminants. ::>
[10:03:02	][IC] S10/OWH.GHOST-72: <:: EYES ON Sound on. ::>
[10:03:05	][IC] S10/OWH.GHOST-72: <:: EYES ON. ::>
[10:03:12	][IC] S10/OWH.GHOST-72: <:: Wallhammer, eyes on. ::>
[10:03:19	][IC] S10/OWH.GHOST-72: <:: Voice on. ::>
[10:03:27	][IC] S10/OWH.GHOST-72: <:: Sound on. ::>
[10:03:31	][IC] S10/OWH.GHOST-72: <:: EYES ON. ::>
[10:03:34	][IC] S10/OWH.GHOST-72: <:: Sound on. ::>
[10:03:43	][IC] S10/OWH.GHOST-72: <:: Wallhammer, eyes on. ::>
[10:03:50	][IC] S10/OWH.GHOST-72: <:: Wallhammer, eyes on. ::>
[10:03:52	][IC] S10/OWH.GHOST-72: <:: Sound on. ::>
[10:03:53	]S10/OWH.GHOST-72 has gained a '12rnd SG-1 Magazine' #73976.
[10:03:53	]S10/OWH.GHOST-72 has lost a '12rnd SG-1 Magazine' #73978.
[10:03:56	]S10/OWH.GHOST-72 entered observer.
[10:04:02	]S10/OWH.GHOST-72 exited observer at their location.
[10:04:06	]S10/OWH.GHOST-72 has gained a '12rnd SG-1 Magazine' #73978.
[10:04:06	]S10/OWH.GHOST-72 has lost a '12rnd SG-1 Magazine' #73976.
[10:04:07	]S10/OWH.GHOST-72 entered observer.
[10:04:10	]S10/OWH.GHOST-72 exited observer at their location.
[10:04:13	]S10/OWH.GHOST-72 has gained a '12rnd SG-1 Magazine' #73976.
