[16:20:53	]crat has connected.
[16:23:13	]crat loaded the character 'C24:RL.XRAY-57'
[16:23:18	]C24:RL.XRAY-57 is fully healed.
[16:23:26	]C24:RL.XRAY-57 entered observer.
[16:24:03	]C24:RL.XRAY-57 opened the 'Doktor Brooks'un Dosyaları' #2179 container.
[16:24:06	]C24:RL.XRAY-57 closed the 'Doktor Brooks'un Dosyaları' #2179 container.
[16:24:10	]C24:RL.XRAY-57 exited observer at their location.
[16:24:14	]C24:RL.XRAY-57 entered observer.
[16:26:28	]C24:RL.XRAY-57 has added static text: (YEREL EVENT - ERİŞİME ŞU ANLIK KAPALIDIR)
[16:26:28	]C24:RL.XRAY-57 used command '/AdminSceneText (YEREL EVENT - ERİŞİME ŞU ANLIK KAPALIDIR)'.
[16:26:29	]C24:RL.XRAY-57 exited observer at their location.
[16:26:32	]C24:RL.XRAY-57 entered observer.
[16:26:35	]C24:RL.XRAY-57 exited observer at their location.
[16:26:36	]C24:RL.XRAY-57 ran 'take' on item 'Kağıt' (#14228)
[16:26:36	]C24:RL.XRAY-57 has gained a 'Kağıt' #14228.
[16:26:58	]C24:RL.XRAY-57 entered observer.
[16:27:09	]C24:RL.XRAY-57 exited observer at their location.
[16:27:17	]C24:RL.XRAY-57 has spawned a pin.
[16:27:20	]C24:RL.XRAY-57 ran 'take' on item 'İğne' (#15548)
[16:27:20	]C24:RL.XRAY-57 has gained a 'İğne' #15548.
[16:27:26	]C24:RL.XRAY-57 ran 'Pin' on item 'İğne' (#15548)
[16:27:31	]C24:RL.XRAY-57 ran 'drop' on item 'Kağıt' (#14228)
[16:27:31	]C24:RL.XRAY-57 has lost a 'Kağıt' #14228.
[16:27:46	]C24:RL.XRAY-57 ran 'Pin' on item 'İğne' (#15548)
[16:27:49	]C24:RL.XRAY-57 ran 'take' on item 'Kağıt' (#14228)
[16:27:49	]C24:RL.XRAY-57 has gained a 'Kağıt' #14228.
[16:27:52	]C24:RL.XRAY-57 ran 'drop' on item 'Kağıt' (#14228)
[16:27:52	]C24:RL.XRAY-57 has lost a 'Kağıt' #14228.
[16:28:13	]C24:RL.XRAY-57 entered observer.
[16:28:21	]C24:RL.XRAY-57 exited observer at their location.
