[01:12:23	]Mersa has connected.
[01:13:23	]Mersa loaded the character 'Austin  Pearl'
[01:14:24	]Austin  Pearl opened the 'Çöp Konteyneri' #6554 container.
[01:14:32	]Austin  Pearl ran 'drop' on item 'Açık Gri Kol Bandı' (#51476)
[01:14:33	]Austin  Pearl closed the 'Çöp Konteyneri' #6554 container.
[01:14:34	]Austin  Pearl ran 'take' on item 'Açık Gri Kol Bandı' (#51476)
[01:14:34	]Austin  Pearl has gained a 'Açık Gri Kol Bandı' #51476.
[01:14:35	]Austin  Pearl ran 'Equip' on item 'Açık Gri Kol Bandı' (#51476)
[01:15:05	]Austin  Pearl entered observer.
[01:15:07	]Austin  Pearl exited observer.
[01:15:38	]Mersa has unloaded their "Austin  Pearl" character.
[01:15:43	]Mersa (STEAM_0:0:188549543) deleted character 'Austin  Pearl'
[01:20:53	]Mersa has gone afk.
[01:25:45	]Mersa created the character 'Wilson Tobey'
[01:25:45	]Wilson Tobey has gained a 'Açık Gri Kol Bandı' #71433.
[01:25:45	]Wilson Tobey has gained a '#48081 Kimlik Kartı' #71434.
[01:25:45	]Wilson Tobey has gained a 'Sivil Tulum' #71435.
[01:25:45	]Wilson Tobey has gained a 'Tulum pantolonu.' #71436.
[01:25:45	]Wilson Tobey has gained a 'Koyu Deri Çizme' #71437.
[01:25:45	]Mersa loaded the character 'Wilson Tobey'
[01:25:45	]Wilson Tobey is no longer afk. Total time spent AFK: 590
[01:29:46	]Wilson Tobey entered observer.
[01:29:54	]Wilson Tobey exited observer.
[01:31:58	]Wilson Tobey has spawned a 'NPC [4735][npc_fastzombie]'.
[01:31:58	]Wilson Tobey has taken 3 damage from npc_fastzombie.
[01:31:59	]Wilson Tobey has taken 3 damage from npc_fastzombie.
[01:32:00	]Wilson Tobey has spawned a 'NPC [5077][npc_fastzombie]'.
[01:32:01	]Wilson Tobey has taken 3 damage from npc_fastzombie.
[01:32:01	]Wilson Tobey has taken 3 damage from npc_fastzombie.
[01:32:03	]Wilson Tobey has taken 3 damage from npc_fastzombie.
[01:32:03	]Wilson Tobey has taken 3 damage from npc_fastzombie.
[01:32:04	][IC] Wilson Tobey: !kill.
[01:32:06	]Wilson Tobey has taken 3 damage from npc_fastzombie.
[01:32:06	]Wilson Tobey has taken 3 damage from npc_fastzombie.
[01:32:08	]Wilson Tobey has damaged npc_fastzombie, dealing 5 with ix_hands
[01:32:08	]Wilson Tobey has taken 3 damage from npc_fastzombie.
[01:32:08	]Wilson Tobey has taken 3 damage from npc_fastzombie.
[01:32:09	]Wilson Tobey has damaged npc_fastzombie, dealing 5 with ix_hands
[01:32:09	]Wilson Tobey has damaged npc_fastzombie, dealing 5 with ix_hands
[01:32:10	]Wilson Tobey has damaged npc_fastzombie, dealing 5 with ix_hands
[01:32:11	]Wilson Tobey has taken 3 damage from npc_fastzombie.
