[12:52:57	]Lynx has connected.
[12:53:45	]Lynx loaded the character 'Harry Gutenberg'
[12:53:51	]Harry Gutenberg entered observer.
[12:54:00	]Harry Gutenberg exited observer at their location.
[12:54:35	]Harry Gutenberg has fired a toolgun with the name: duplicator
[12:54:42	]Harry Gutenberg has fired a toolgun with the name: duplicator
[12:54:42	]Harry Gutenberg has spawned 'models/willardnetworks/skills/surgicalkit.mdl'.
[12:55:09	]Harry Gutenberg has spawned a health_syringe.
[12:55:20	]Harry Gutenberg has fired a toolgun with the name: duplicator
[12:55:35	]Harry Gutenberg has used a context menu option with the name: rb655_dissolve
[12:55:37	]env_entity_dissolver destroyed a 'Sağlık Şırıngası' #29627.
[12:55:38	]Harry Gutenberg has used a context menu option with the name: rb655_make_animatable
[12:55:39	]Harry Gutenberg has enabled persistence for 'models/willardnetworks/skills/hpsyringe.mdl'.
[12:55:39	]Harry Gutenberg has used a context menu option with the name: persist
[12:55:40	]Harry Gutenberg has enabled persistence for 'models/willardnetworks/skills/surgicalkit.mdl'.
[12:55:40	]Harry Gutenberg has used a context menu option with the name: persist
[12:56:35	]Harry Gutenberg entered observer.
[12:56:40	]Harry Gutenberg exited observer at their location.
[12:57:23	]Harry Gutenberg has spawned 'models/env/decor/tall_plant_b/tall_plant_b.mdl'.
[12:58:07	]Harry Gutenberg entered observer.
[12:58:09	]Harry Gutenberg exited observer at their location.
[12:58:12	]Harry Gutenberg has spawned 'models/props_interiors/toiletpaperdispenser_residential.mdl'.
[12:59:03	]Harry Gutenberg entered observer.
[12:59:08	]Harry Gutenberg exited observer at their location.
[12:59:19	]Harry Gutenberg has spawned 'models/props/de_tides/planter.mdl'.
[12:59:27	]Harry Gutenberg has fired a toolgun with the name: remover
[13:00:10	]Harry Gutenberg has spawned 'models/props/de_inferno/potted_plant1.mdl'.
[13:00:21	]Harry Gutenberg has spawned 'models/props/de_inferno/potted_plant2.mdl'.
[13:00:25	]Harry Gutenberg has fired a toolgun with the name: remover
[13:02:10	]Harry Gutenberg entered observer.
[13:02:27	]Harry Gutenberg has spawned 'models/props_junk/cardboard_box003a.mdl'.
[13:02:34	]Harry Gutenberg has spawned 'models/props_junk/cardboard_box001a.mdl'.
[13:02:41	]Harry Gutenberg has fired a toolgun with the name: remover
[13:02:46	]Harry Gutenberg exited observer at their location.
