[00:03:00	]Recik has connected.
[00:04:15	]Recik loaded the character 'Joe Morgan'
[00:04:20	]Joe Morgan entered observer.
[00:04:27	]Joe Morgan exited observer at their location.
[00:05:29	]Joe Morgan used command '/ActCheck'.
[00:05:32	]Joe Morgan used command '/ExitAct'.
[00:10:45	]Joe Morgan has gone afk.
[00:11:35	]Joe Morgan is no longer afk. Total time spent AFK: 345
[00:15:25	]Joe Morgan entered observer.
[00:15:28	]Joe Morgan exited observer at their location.
[00:24:05	]Joe Morgan has gone afk.
[00:26:55	]Joe Morgan is no longer afk. Total time spent AFK: 465
[00:32:25	]Joe Morgan has gone afk.
[00:36:40	]Joe Morgan is no longer afk. Total time spent AFK: 550
[00:41:40	]Joe Morgan has gone afk.
[00:46:02	]Lorf has connected.
[00:46:55	]Joe Morgan is no longer afk. Total time spent AFK: 610
[00:52:31	]Lorf loaded the character 'S10/OWS.GHOST-87'
[00:53:25	]Joe Morgan entered observer.
[00:53:28	]S10/OWS.GHOST-87 entered observer.
[00:53:29	]Joe Morgan exited observer at their location.
[00:53:30	]Joe Morgan entered observer.
[00:53:31	]Joe Morgan exited observer at their location.
[00:54:34	]S10/OWS.GHOST-87 exited observer at their location.
[00:54:40	]S10/OWS.GHOST-87 used command '/ActType'.
[00:54:43	]S10/OWS.GHOST-87 used command '/ExitAct'.
[00:54:52	]S10/OWS.GHOST-87 used command '/ActType'.
[00:55:05	]S10/OWS.GHOST-87 used command '/ExitAct'.
[00:55:07	]Recik has unloaded their "Joe Morgan" character.
[00:55:09	]S10/OWS.GHOST-87 entered observer.
[00:55:12	]Recik loaded the character 'Konfident'
[00:55:13	]Konfident entered observer.
[00:55:15	]Konfident exited observer at their location.
[00:55:21	]S10/OWS.GHOST-87 exited observer at their location.
[00:55:22	]S10/OWS.GHOST-87 entered observer.
[00:55:23	]S10/OWS.GHOST-87 exited observer at their location.
[00:55:25	][IC] S10/OWS.GHOST-87: <:: Get down! ::>
[00:55:36	]S10/OWS.GHOST-87 used command '/Punch'.
[00:55:36	]Konfident was just knocked out due to: hit by punch command used by S10/OWS.GHOST-87
[00:55:45	]S10/OWS.GHOST-87 entered observer.
[00:56:11	]S10/OWS.GHOST-87 used command '/CharGetUp konfident'.
[00:56:14	]S10/OWS.GHOST-87 exited observer at their location.
[00:56:44	]S10/OWS.GHOST-87 has spawned a 'NPC [54][npc_citizen]'.
[00:56:46	]S10/OWS.GHOST-87 used command '/Punch'.
[00:56:49	]S10/OWS.GHOST-87 has critically hit npc_citizen in the head dealing 22 damage (CritChance was 1.01).
[00:57:33	]S10/OWS.GHOST-87 used command '/Handsignals'.
[00:57:40	]S10/OWS.GHOST-87 used command '/Handsignals'.
[00:57:50	]S10/OWS.GHOST-87 used command '/Handsignals'.
[00:57:55	]S10/OWS.GHOST-87 used command '/Handsignals'.
[00:57:58	]S10/OWS.GHOST-87 used command '/Handsignals'.
[00:58:15	]Konfident rolled 2 out of 2.
[00:58:15	]Konfident used command '/Roll generic 2'.
[00:58:28	]Konfident used command '/CharGetHealing ows'.
[00:58:46	]Konfident has spawned a comp_bloodsyringe.
[00:58:51	]Konfident has given himself a comp_bloodsyringe.
[00:58:51	]Konfident has gained a 'Blood Syringe' #3138.
[01:00:31	]Konfident has given himself a comp_syringe.
[01:00:31	]Konfident has gained a 'Syringe' #3139.
[01:00:38	]Konfident ran 'Use' on item 'Syringe' (#3139)
[01:00:38	]Konfident has gained a 'Blood Syringe' #3140.
[01:00:52	]Konfident has given himself a comp_syringe.
[01:00:52	]Konfident has gained a 'Syringe' #3141.
[01:00:52	]Konfident has given himself a comp_syringe.
[01:00:52	]Konfident has gained a 'Syringe' #3142.
[01:00:55	]Konfident ran 'split' on item 'Syringe' (#3141)
[01:00:55	]Konfident has gained a 'Syringe' #3143.
[01:01:02	]Konfident ran 'Use' on item 'Syringe' (#3143)
[01:01:02	]Konfident has gained a 'Blood Syringe' #3144.
[01:01:17	]Konfident ran 'drop' on item 'Syringe' (#3141)
[01:01:17	]Konfident has lost a 'Syringe' #3141.
[01:01:25	]S10/OWS.GHOST-87 ran 'take' on item 'Syringe' (#3141)
[01:01:25	]S10/OWS.GHOST-87 has gained a 'Syringe' #3141.
[01:01:28	]S10/OWS.GHOST-87 ran 'Use' on item 'Syringe' (#3141)
[01:01:28	]S10/OWS.GHOST-87 has gained a 'Blood Syringe' #3145.
[01:01:31	]S10/OWS.GHOST-87 ran 'drop' on item 'Blood Syringe' (#3145)
[01:01:31	]S10/OWS.GHOST-87 has lost a 'Blood Syringe' #3145.
[01:01:36	]Konfident ran 'take' on item 'Blood Syringe' (#3145)
[01:01:36	]Konfident has gained a 'Blood Syringe' #3145.
[01:01:49	]S10/OWS.GHOST-87 has critically hit Konfident in the chest dealing 6 damage (CritChance was 1.01).
[01:01:49	]Konfident has taken 5 damage from S10/OWS.GHOST-87.
[01:01:50	]S10/OWS.GHOST-87 has critically hit Konfident in the stomach dealing 6 damage (CritChance was 1.01).
[01:01:50	]Konfident has taken 5 damage from S10/OWS.GHOST-87.
[01:01:50	]S10/OWS.GHOST-87 has critically hit Konfident in the stomach dealing 6 damage (CritChance was 1.01).
[01:01:50	]Konfident has taken 5 damage from S10/OWS.GHOST-87.
[01:01:50	]S10/OWS.GHOST-87 has critically hit Konfident in the left arm dealing 2 damage (CritChance was 1.01).
[01:01:50	]Konfident has taken 1 damage from S10/OWS.GHOST-87.
[01:01:50	]S10/OWS.GHOST-87 has critically hit Konfident in the left arm dealing 1 damage (CritChance was 1.01).
[01:01:50	]Konfident has taken 1 damage from S10/OWS.GHOST-87.
[01:01:52	]Konfident is fully healed.
[01:02:02	]Konfident has spawned a coupon_basic.
[01:02:03	]Konfident ran 'take' on item 'Basic Credits Coupon' (#3146)
[01:02:03	]Konfident has gained a 'Basic Credits Coupon' #3146.
[01:02:10	]S10/OWS.GHOST-87 has given himself a breach.
[01:02:10	]S10/OWS.GHOST-87 has gained a 'Breaching Charge' #3147.
[01:02:20	]S10/OWS.GHOST-87 ran 'Place' on item 'Breaching Charge' (#3147)
[01:02:29	]Konfident has taken 81 damage from env_explosion.
[01:02:32	]Konfident is fully healed.
[01:02:49	]Konfident ran 'drop' on item 'Basic Credits Coupon' (#3146)
[01:02:49	]Konfident has lost a 'Basic Credits Coupon' #3146.
[01:02:52	]S10/OWS.GHOST-87 ran 'take' on item 'Basic Credits Coupon' (#3146)
[01:02:52	]S10/OWS.GHOST-87 has gained a 'Basic Credits Coupon' #3146.
[01:03:21	]S10/OWS.GHOST-87 has spawned a med_computer.
[01:03:23	]S10/OWS.GHOST-87 ran 'Place' on item 'Medical Computer' (#3148)
[01:04:04	]S10/OWS.GHOST-87 has given himself a pda_cmu.
[01:04:04	]S10/OWS.GHOST-87 has gained a 'CMRU PDA' #3149.
[01:04:07	]S10/OWS.GHOST-87 ran 'drop' on item 'CMRU PDA' (#3149)
[01:04:07	]S10/OWS.GHOST-87 has lost a 'CMRU PDA' #3149.
[01:04:09	]S10/OWS.GHOST-87 ran 'take' on item 'CMRU PDA' (#3149)
[01:04:09	]S10/OWS.GHOST-87 has gained a 'CMRU PDA' #3149.
[01:04:21	]S10/OWS.GHOST-87 ran 'drop' on item 'CMRU PDA' (#3149)
[01:04:21	]S10/OWS.GHOST-87 has lost a 'CMRU PDA' #3149.
[01:04:44	]S10/OWS.GHOST-87 ran 'Equip' on item 'Combine PDA' (#189)
[01:06:31	]S10/OWS.GHOST-87 entered observer.
[01:06:33	]S10/OWS.GHOST-87 exited observer at their location.
[01:06:39	]Konfident ran 'take' on item 'CMRU PDA' (#3149)
[01:06:39	]Konfident has gained a 'CMRU PDA' #3149.
[01:06:40	]Konfident ran 'Open' on item 'CMRU PDA' (#3149)
[01:06:41	]S10/OWS.GHOST-87 has given himself a coupon_priority.
[01:06:41	]S10/OWS.GHOST-87 has gained a 'Priority Credits Coupon' #3150.
[01:06:42	]S10/OWS.GHOST-87 has given himself a coupon_medium.
[01:06:42	]S10/OWS.GHOST-87 has gained a 'Medium Credits Coupon' #3151.
[01:07:21	]S10/OWS.GHOST-87 has given himself a ration.
[01:07:21	]S10/OWS.GHOST-87 has gained a 'Ration' #3152.
[01:07:22	]S10/OWS.GHOST-87 ran 'Open' on item 'Ration' (#3152)
[01:07:22	]S10/OWS.GHOST-87 has gained a 'Artificial Paste' #3153.
[01:07:22	]S10/OWS.GHOST-87 has gained a 'Breen's Water' #3154.
[01:07:22	]S10/OWS.GHOST-87 has gained a 'Basic Credits Coupon' #3155.
[01:07:26	]S10/OWS.GHOST-87 ran 'Consume' on item 'Artificial Paste' (#3153)
[01:07:26	]S10/OWS.GHOST-87 has gained a 'Empty Jar' #3156.
[01:07:27	]S10/OWS.GHOST-87 ran 'Consume' on item 'Breen's Water' (#3154)
[01:07:27	]S10/OWS.GHOST-87 has gained a 'Empty Breen's Water' #3157.
[01:07:29	]S10/OWS.GHOST-87 ran 'drop' on item 'Empty Jar' (#3156)
[01:07:29	]S10/OWS.GHOST-87 has lost a 'Empty Jar' #3156.
[01:07:30	]S10/OWS.GHOST-87 ran 'drop' on item 'Empty Breen's Water' (#3157)
[01:07:30	]S10/OWS.GHOST-87 has lost a 'Empty Breen's Water' #3157.
[01:07:48	]S10/OWS.GHOST-87 has spawned a 'Entity [73][ix_cwuterminal]'.
[01:07:56	]S10/OWS.GHOST-87 has spawned a 'Entity [73][ix_rationdispenser]'.
[01:08:09	]S10/OWS.GHOST-87 has spawned a 'Entity [76][ix_workshiftterminal]'.
[01:08:28	]Konfident ran 'Open' on item 'CMRU PDA' (#3149)
[01:08:45	]S10/OWS.GHOST-87 has spawned a 'Entity [78][ix_terminal]'.
[01:08:52	]S10/OWS.GHOST-87 ran 'Use' on item 'Medium Credits Coupon' (#3151)
[01:08:54	]S10/OWS.GHOST-87 ran 'Use' on item 'Priority Credits Coupon' (#3150)
