[15:05:00	]Shane Walsh has connected.
[15:05:50	]Beyin.Dll has connected.
[15:06:23	]Shane Walsh loaded the character 'C24:i4.HELIX-86'
[15:06:28	]C24:i4.HELIX-86 is fully healed.
[15:06:34	]Beyin.Dll loaded the character 'C24:i3.XRAY-91'
[15:06:54	]C24:i3.XRAY-91 opened the 'Kanıt Deposu' #6548 container.
[15:06:55	]C24:i3.XRAY-91 closed the 'Kanıt Deposu' #6548 container.
[15:06:56	]C24:i3.XRAY-91 opened the 'Kanıt Deposu' #6547 container.
[15:06:57	]C24:i3.XRAY-91 closed the 'Kanıt Deposu' #6547 container.
[15:06:57	]C24:i3.XRAY-91 opened the 'Kanıt Deposu' #6546 container.
[15:06:59	]C24:i3.XRAY-91 closed the 'Kanıt Deposu' #6546 container.
[15:07:06	]C24:i3.XRAY-91 ran 'combine' on item '30rnd MP-şarjörü' (#33140)
[15:07:08	]Shane Walsh has unloaded their "C24:i4.HELIX-86" character.
[15:07:21	]C24:i3.XRAY-91 ran 'drop' on item 'Dezenfektan' (#60043)
[15:07:21	]C24:i3.XRAY-91 has lost a 'Dezenfektan' #60043.
[15:07:23	]C24:i3.XRAY-91 has used a context menu option with the name: remove
[15:07:25	]C24:i3.XRAY-91 ran 'drop' on item 'Boş Süt Kartonu' (#61541)
[15:07:25	]C24:i3.XRAY-91 has lost a 'Boş Süt Kartonu' #61541.
[15:07:26	]C24:i3.XRAY-91 has used a context menu option with the name: remove
[15:07:30	]C24:i3.XRAY-91 has lost a '30rnd MP-şarjörü' #33140.
[15:07:30	]C24:i3.XRAY-91 has gained a '30rnd MP-şarjörü' #33140.
[15:07:30	]C24:i3.XRAY-91 has lost a '30rnd MP-şarjörü' #33139.
[15:07:35	]C24:i3.XRAY-91 has lost a '17rnd Usp-Şarjörü' #33149.
[15:07:35	]C24:i3.XRAY-91 has gained a '17rnd Usp-Şarjörü' #33149.
[15:07:35	]C24:i3.XRAY-91 has lost a '17rnd Usp-Şarjörü' #33148.
[15:07:43	]C24:i3.XRAY-91 ran 'combine' on item 'SMG Mermisi' (#31527)
[15:07:45	]C24:i3.XRAY-91 ran 'combine' on item '9mm Tabanca Mermisi' (#27821)
[15:07:45	]C24:i3.XRAY-91 ran 'combine' on item '9mm Tabanca Mermisi' (#27824)
[15:07:48	]C24:i3.XRAY-91 ran 'Equip' on item 'Flash Grenade' (#40252)
[15:07:54	]C24:i3.XRAY-91 has gained a '30rnd MP-şarjörü' #33139.
[15:07:54	]C24:i3.XRAY-91 has lost a '30rnd MP-şarjörü' #33140.
[15:07:54	]C24:i3.XRAY-91 has gained a '30rnd MP-şarjörü' #33140.
[15:07:54	]C24:i3.XRAY-91 has lost a '30rnd MP-şarjörü' #33139.
[15:08:02	]C24:i3.XRAY-91 entered observer.
[15:08:37	]C24:i3.XRAY-91 used command '/PanelRemove'.
[15:08:39	]C24:i3.XRAY-91 used command '/PanelRemove'.
[15:08:40	]C24:i3.XRAY-91 used command '/PanelRemove'.
[15:08:41	]C24:i3.XRAY-91 used command '/PanelRemove'.
[15:09:29	]C24:i3.XRAY-91 is fully healed.
[15:09:34	]C24:i3.XRAY-91 exited observer at their location.
[15:09:35	]C24:i3.XRAY-91 entered observer.
[15:09:36	]C24:i3.XRAY-91 exited observer at their location.
[15:09:41	]C24:i3.XRAY-91 has given himself a cwulock.
[15:09:41	]C24:i3.XRAY-91 has gained a 'CWU Lock' #68099.
[15:09:43	]C24:i3.XRAY-91 ran 'Place' on item 'CWU Lock' (#68099)
[15:09:44	]C24:i3.XRAY-91 has given himself a cwulock.
[15:09:44	]C24:i3.XRAY-91 has gained a 'CWU Lock' #68100.
[15:09:46	]C24:i3.XRAY-91 ran 'Place' on item 'CWU Lock' (#68100)
[15:09:47	]C24:i3.XRAY-91 entered observer.
