[18:22:21	]Kaan has connected.
[18:23:13	]Kaan loaded the character 'C24:i5.TAP-54'
[18:25:43	]C24:i5.TAP-54 is fully healed.
[18:25:46	]Barış has connected.
[18:26:51	]Barış loaded the character 'C24:i5.(X)KING-19'
[18:26:56	]C24:i5.(X)KING-19 is fully healed.
[18:27:19	][IC] C24:i5.TAP-54: <:: 10-107'yi yargılamaya hazırlanıyor; dikkatli olun. ::>
[18:27:23	]C24:i5.TAP-54 used command '/Radio 10-8'.
[18:27:43	]C24:i5.TAP-54 used command '/ActStand 4'.
[18:28:07	][IC] C24:i5.TAP-54: <:: Hmph. ::>
[18:28:50	][IC] C24:i5.TAP-54: <:: Yargılamaya hazır. ::>
[18:29:03	][IC] C24:i5.(X)KING-19: <:: Ne. ::>
[18:29:14	][IC] C24:i5.TAP-54: <:: Prensesler diyarını bilirmisin diyorum. ::>
[18:29:30	][IC] C24:i5.(X)KING-19: <:: Sen ne anlatıyon. ::>
[18:29:34	][IC] C24:i5.TAP-54: <:: Kapa çeneni. ::>
[18:29:35	]C24:i5.TAP-54 used command '/ExitAct'.
[18:29:43	]C24:i5.TAP-54 used command '/ActStand 4'.
[18:30:37	]C24:i5.TAP-54 used command '/ExitAct'.
[18:30:44	]C24:i5.TAP-54 used command '/ActStand 4'.
[18:30:47	]C24:i5.TAP-54 used command '/ActStand 4'.
[18:30:53	]C24:i5.TAP-54 used the 'Destek Masası Dağıtıcısı' vendor.
[18:31:03	]C24:i5.TAP-54 has gained 0 chips.
[18:31:03	]C24:i5.TAP-54 has gained a 'Mor CCA kol bandı' #166953.
[18:31:08	]C24:i5.TAP-54 ran 'Equip' on item 'Mor CCA kol bandı' (#166953)
[18:31:12	]C24:i5.TAP-54 ran 'drop' on item 'Mor CCA kol bandı' (#166953)
[18:31:12	]C24:i5.TAP-54 has lost a 'Mor CCA kol bandı' #166953.
[18:31:17	]C24:i5.TAP-54 destroyed a 'Mor CCA kol bandı' #166953.
[18:31:50	][IC] C24:i5.(X)KING-19: <:: Itme. ::>
[18:32:01	][IC] C24:i5.TAP-54: <:: Görevime engel olma o halde. ::>
[18:32:08	][IC] C24:i5.(X)KING-19: <:: Görevin ne? ::>
