[15:19:52	]Oktawiangr has connected.
[15:24:44	]Oktawiangr created the character 'Lt. Anastasiy Jegorowich'
[15:24:44	]Oktawiangr has gained level 30 in the Broń palna skill.
[15:24:44	]Oktawiangr has gained level 30 in the Prędkość skill.
[15:24:44	]Oktawiangr loaded the character 'Lt. Anastasiy Jegorowich'
[15:24:44	]Lt. Anastasiy Jegorowich has gained a 'Karta identyfikacyjna #70826' #6793.
[15:24:44	]Lt. Anastasiy Jegorowich has gained a 'Latarka' #6794.
[15:24:44	]Lt. Anastasiy Jegorowich has gained a 'Mała torba' #6795.
[15:24:44	]Lt. Anastasiy Jegorowich has gained a 'Duża torba' #6796.
[15:24:44	]Lt. Anastasiy Jegorowich has gained a 'Krótkofalówka' #6797.
[15:25:23	]Lt. Anastasiy Jegorowich entered observer.
[15:25:23	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:25:23	]Lt. Anastasiy Jegorowich entered observer.
[15:25:24	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:25:24	]Lt. Anastasiy Jegorowich entered observer.
[15:25:25	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:25:32	]Lt. Anastasiy Jegorowich entered observer.
[15:26:13	]Lt. Anastasiy Jegorowich has used a context menu option with the name: remove
[15:26:20	]Lt. Anastasiy Jegorowich has used a context menu option with the name: remove
[15:26:42	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:26:43	]Lt. Anastasiy Jegorowich entered observer.
[15:26:46	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:26:46	]Lt. Anastasiy Jegorowich entered observer.
[15:26:47	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:26:49	]Lt. Anastasiy Jegorowich entered observer.
[15:27:54	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:28:27	]Lt. Anastasiy Jegorowich used command '/SpawnAdd obywatelska'.
[15:28:29	]Lt. Anastasiy Jegorowich used command '/SpawnAdd obywatelska'.
[15:28:30	]Lt. Anastasiy Jegorowich entered observer.
[15:28:52	]Pozytyw has connected.
[15:29:18	]Lt. Anastasiy Jegorowich used command '/CharGiveFlag lt petru'.
[15:30:29	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:30:39	]Lt. Anastasiy Jegorowich entered observer.
[15:31:42	]Pozytyw created the character 'Richard Levittoux'
[15:31:42	]Pozytyw has gained level 30 in the Broń palna skill.
[15:31:42	]Pozytyw has gained level 30 in the Prędkość skill.
[15:31:43	]Pozytyw loaded the character 'Richard Levittoux'
[15:31:43	]Richard Levittoux has gained a 'Karta identyfikacyjna #71867' #6798.
[15:31:43	]Richard Levittoux has gained a 'Latarka' #6799.
[15:31:43	]Richard Levittoux has gained a 'Mała torba' #6800.
[15:31:43	]Richard Levittoux has gained a 'Duża torba' #6801.
[15:31:43	]Richard Levittoux has gained a 'Krótkofalówka' #6802.
[15:32:05	]Richard Levittoux entered observer.
[15:32:08	]Richard Levittoux exited observer at their location.
[15:32:09	]Richard Levittoux entered observer.
[15:32:27	]Richard Levittoux exited observer at their location.
[15:32:32	]Lt. Anastasiy Jegorowich ran SAM command 'goto' with arguments: 'levittoux'
[15:32:32	]Richard Levittoux entered observer.
[15:32:34	]Richard Levittoux exited observer at their location.
[15:32:36	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:33:37	]Richard Levittoux entered observer.
[15:33:38	]Richard Levittoux exited observer at their location.
[15:33:39	]Richard Levittoux entered observer.
[15:33:40	]Richard Levittoux exited observer at their location.
[15:33:44	]Lt. Anastasiy Jegorowich entered observer.
[15:33:44	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:33:45	]Lt. Anastasiy Jegorowich entered observer.
[15:33:45	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:33:46	]Richard Levittoux entered observer.
[15:33:47	]Richard Levittoux exited observer at their location.
[15:34:32	]Richard Levittoux entered observer.
[15:34:34	]Richard Levittoux exited observer at their location.
[15:34:34	]Richard Levittoux entered observer.
[15:34:34	]Richard Levittoux exited observer at their location.
[15:34:35	]Richard Levittoux entered observer.
[15:34:36	]Richard Levittoux exited observer at their location.
[15:34:36	]Richard Levittoux entered observer.
[15:34:36	]Richard Levittoux exited observer at their location.
[15:34:40	]Lt. Anastasiy Jegorowich entered observer.
[15:34:41	]Richard Levittoux entered observer.
[15:34:43	]Richard Levittoux exited observer at their location.
[15:34:46	]Richard Levittoux entered observer.
[15:34:46	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:34:54	]Lt. Anastasiy Jegorowich entered observer.
[15:34:55	]Richard Levittoux exited observer at their location.
[15:34:57	]Richard Levittoux entered observer.
[15:35:15	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:35:19	]Richard Levittoux exited observer at their location.
[15:35:19	]Lt. Anastasiy Jegorowich entered observer.
[15:35:20	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:35:21	]Richard Levittoux entered observer.
[15:35:23	]Richard Levittoux exited observer at their location.
[15:35:24	]Lt. Anastasiy Jegorowich entered observer.
[15:35:33	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:35:41	]Recik has connected.
[15:35:49	]Lt. Anastasiy Jegorowich entered observer.
[15:35:52	]Richard Levittoux entered observer.
[15:35:55	]Richard Levittoux exited observer at their location.
[15:36:02	]Richard Levittoux entered observer.
[15:36:02	]Richard Levittoux exited observer at their location.
[15:36:03	]Richard Levittoux entered observer.
[15:36:03	]Richard Levittoux exited observer at their location.
[15:36:05	]Richard Levittoux has used a context menu option with the name: rb655_door_open
[15:36:09	]Richard Levittoux has used a context menu option with the name: rb655_door_close
[15:36:13	]Richard Levittoux entered observer.
[15:36:13	]Richard Levittoux exited observer at their location.
[15:36:18	]Richard Levittoux entered observer.
[15:36:19	]Richard Levittoux exited observer at their location.
[15:36:19	]Richard Levittoux entered observer.
[15:36:20	]Richard Levittoux exited observer at their location.
[15:36:25	]Richard Levittoux has spawned a 'Entity [2244][ix_vendor]'.
[15:36:56	]Recik loaded the character 'Recik'
[15:37:03	]Recik entered observer.
[15:37:12	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:37:23	]Recik ran 'Equip' on item 'AKM' (#6649)
[15:37:25	]Richard Levittoux entered observer.
[15:37:28	]Lt. Anastasiy Jegorowich entered observer.
[15:37:31	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:37:31	]Lt. Anastasiy Jegorowich entered observer.
[15:37:34	]Richard Levittoux exited observer at their location.
[15:37:44	]Lt. Anastasiy Jegorowich used command '/CharGiveFlag levittoux petru'.
[15:38:04	]Richard Levittoux has spawned a 'Entity [2244][ix_vendor]'.
[15:38:08	]Chogacz has connected.
[15:38:13	]Richard Levittoux entered observer.
[15:38:20	]Lt. Anastasiy Jegorowich exited observer at their location.
[15:38:22	]Richard Levittoux exited observer at their location.
