[06:59:21	]Neo-Wolffe has connected.
[07:00:10	]Neo-Wolffe loaded the character 'Usman'
[07:00:13	]Usman entered observer.
[07:00:20	]Usman exited observer at their location.
[07:00:33	]Usman entered observer.
[07:00:46	]Usman exited observer at their location.
[07:00:56	]Usman entered observer.
[07:00:57	]Usman exited observer at their location.
[07:01:51	]Usman entered observer.
[07:01:56	]Usman exited observer at their location.
[07:02:01	]Usman has used a context menu option with the name: remove
[07:02:04	]Usman opened the 'Depo' stash.
[07:02:06	]Usman closed the 'Depo' stash.
[07:02:07	]Usman has used a context menu option with the name: remove
[07:02:18	]Usman has spawned 'models\props/CS_militia/shelves_wood.mdl'.
[07:02:23	]Usman entered observer.
[07:02:24	]Usman exited observer at their location.
[07:02:27	]Usman has enabled persistence for 'models\props/cs_militia/shelves_wood.mdl'.
[07:02:27	]Usman has used a context menu option with the name: persist
[07:02:39	]Usman has spawned 'models/props_wasteland/controlroom_storagecloset001a.mdl'.
[07:02:44	]Usman created a 'Büyük Metal Dolap' container.
[07:02:44	]Usman has used a context menu option with the name: wncontainer_create
[07:02:46	]Usman opened the 'Büyük Metal Dolap' #11991 container.
[07:02:48	]Usman closed the 'Büyük Metal Dolap' #11991 container.
[07:02:53	]Usman has spawned 'models/props_wasteland/kitchen_stove001a.mdl'.
[07:02:54	]Usman has spawned 'models/props_wasteland/kitchen_counter001a.mdl'.
[07:03:01	]Usman entered observer.
[07:03:04	]Usman exited observer at their location.
[07:03:06	]Usman has spawned 'models/props_interiors/ElevatorShaft_Door01a.mdl'.
[07:03:11	]Usman has spawned 'models/props_junk/cardboard_box004a.mdl'.
[07:03:14	]Usman entered observer.
[07:03:21	]Usman has used a context menu option with the name: clientprop
[07:03:35	]Usman has spawned 'models/props_wasteland/cafeteria_table001a.mdl'.
[07:03:37	]Usman has spawned 'models/props_wasteland/cafeteria_bench001a.mdl'.
[07:03:41	]Usman has used a context menu option with the name: remove
[07:03:44	]Usman exited observer at their location.
[07:03:56	]Usman used command '/ExitAct'.
[07:04:05	]Usman has spawned 'models/props_interiors/VendingMachineSoda01a.mdl'.
[07:04:11	]Usman has spawned 'models/props_trainstation/BenchOutdoor01a.mdl'.
[07:04:14	]Usman has spawned 'models/props_trainstation/traincar_seats001.mdl'.
[07:04:18	]Usman has spawned 'models/props_lab/reciever_cart.mdl'.
[07:04:23	]Usman entered observer.
[07:04:25	]Usman exited observer at their location.
[07:04:38	]Usman has spawned 'models/props_junk/garbage_newspaper001a.mdl'.
[07:04:48	]Usman has used a context menu option with the name: clientprop
[07:05:09	]Usman has spawned 'models/props_c17/FurnitureTable003a.mdl'.
[07:05:14	]Usman has spawned 'models/props_junk/iBeam01a_cluster01.mdl'.
[07:05:38	]Usman entered observer.
