[15:04:36	]Shane Walsh has connected.
[15:05:34	]Shane Walsh loaded the character 'C24:i4.HELIX-86'
[15:05:39	]C24:i4.HELIX-86 is fully healed.
[15:05:49	]C24:i4.HELIX-86 used command '/Radio 10-8'.
[15:08:05	]Enistein has connected.
[15:08:42	]Cengo has connected.
[15:09:04	]C24:i4.HELIX-86 ran SAM command 'asay' with arguments: 'admin'
[15:09:19	]Enistein loaded the character 'Theodore Abernathy'
[15:09:24	]Theodore Abernathy is fully healed.
[15:09:43	]C24:i4.HELIX-86 ran SAM command 'asay' with arguments: 'admin'
[15:09:45	]bquits has connected.
[15:10:07	][LOOC] C24:i4.HELIX-86: admin yokmu
[15:10:18	]DavşanAbi has connected.
[15:10:38	]bquits loaded the character 'bquits'
[15:10:39	]bquits has taken 2 damage from bquits.
[15:10:39	]bquits has taken 4 damage from bquits.
[15:10:39	]bquits has taken 6 damage from bquits.
[15:10:40	]bquits has taken 8 damage from bquits.
[15:10:41	]bquits has taken 10 damage from bquits.
[15:10:41	]bquits has taken 12 damage from bquits.
[15:10:41	]bquits has taken 14 damage from bquits.
[15:10:41	]bquits has taken 15 damage from bquits.
[15:10:42	]bquits has taken 15 damage from bquits.
[15:10:42	]bquits was knocked unconscious and is bleeding out.
[15:10:43	]Theodore Abernathy entered observer.
[15:10:44	]bquits ran SAM command 'respawn' with arguments: ''
[15:10:44	]bquits has taken 2 damage from bquits.
[15:10:45	]bquits has taken 4 damage from bquits.
[15:10:45	]bquits entered observer.
[15:10:56	]C24:i4.HELIX-86 ran SAM command 'asay' with arguments: 'admin'
[15:11:09	]bquits (STEAM_0:0:142449284) deleted character 'Bquits'
[15:11:12	]bquits loaded the character 'C45:i3.HELIX-10'
[15:11:14	]C45:i3.HELIX-10 entered observer.
[15:11:21	]C45:i3.HELIX-10 exited observer at their location.
[15:11:22	]C45:i3.HELIX-10 used command '/Radio 10-8'.
[15:11:30	]DavşanAbi loaded the character 'Arif Sertkesen'
[15:11:31	]C45:i3.HELIX-10 has used a context menu option with the name: rb655_door_close
[15:11:34	]Arif Sertkesen entered observer.
[15:11:35	][LOOC] C24:i4.HELIX-86: aga destek masası yok geçmiş olsun
[15:11:39	]Theodore Abernathy used command '/PM helix konuşmadayım şu an gelemiyorum biraz beklersen yardımcı olacağım'.
[15:11:40	][LOOC] C45:i3.HELIX-10: var
[15:12:11	]C24:i4.HELIX-86 used command '/PM Theodore pardon destek masası nerde dicektim buldum'.
[15:12:27	]Theodore Abernathy exited observer at their location.
[15:12:28	]Theodore Abernathy entered observer.
[15:12:33	][LOOC] C24:i4.HELIX-86: eyw
[15:13:23	]Victorian has connected.
[15:14:14	]C45:i3.HELIX-10 has lost a '30rnd MP-şarjörü' #64100.
[15:14:14	]C45:i3.HELIX-10 has gained a '30rnd MP-şarjörü' #64100.
[15:14:14	]C45:i3.HELIX-10 has lost a '30rnd MP-şarjörü' #64099.
[15:14:14	]C45:i3.HELIX-10 has gained a '30rnd MP-şarjörü' #64102.
[15:14:17	]Theodore Abernathy has used a context menu option with the name: remove
[15:14:19	]C45:i3.HELIX-10 entered observer.
[15:14:24	]Cengo created the character 'Gerhard Reicher'
[15:14:24	]Cengo loaded the character 'Gerhard Reicher'
[15:14:24	]Gerhard Reicher has gained a 'Açık Gri Kol Bandı' #67812.
[15:14:24	]Gerhard Reicher has gained a '#33735 Kimlik Kartı' #67813.
[15:14:24	]Gerhard Reicher has gained a 'Sivil Tulum' #67814.
[15:14:24	]Gerhard Reicher has gained a 'Tulum pantolonu.' #67815.
[15:14:24	]Gerhard Reicher has gained a 'Koyu Deri Çizme' #67816.
[15:14:28	]Theodore Abernathy ran SAM command 'goto' with arguments: 'gerhard'
[15:14:35	]Theodore Abernathy ran SAM command 'setrank' with arguments: 'gerhard' 'server_admin'
[15:14:36	]Gerhard Reicher entered observer.
[15:14:41	]C24:i4.HELIX-86 used command '/Radio Şehir temiz, sanırım herkes uyuyor.'.
[15:14:48	]C45:i3.HELIX-10 ran SAM command 'asay' with arguments: 'cengiz mi geldi'
[15:14:51	]C45:i3.HELIX-10 ran SAM command 'asay' with arguments: 'wn den'
[15:14:52	]Theodore Abernathy ran SAM command 'asay' with arguments: 'evet'
[15:14:52	]Arif Sertkesen ran SAM command 'asay' with arguments: 'Evet'
[15:14:53	]Gerhard Reicher ran SAM command 'asay' with arguments: 'Selam abi'
[15:14:57	]C45:i3.HELIX-10 ran SAM command 'asay' with arguments: 'hoşgeldin abi'
[15:15:08	]C45:i3.HELIX-10 used command '/Radio Evet'.
[15:15:08	]Gerhard Reicher exited observer at their location.
[15:15:09	]Gerhard Reicher entered observer.
[15:15:12	]C45:i3.HELIX-10 exited observer at their location.
[15:15:18	]Beyin.Dll has connected.
[15:15:18	]Victorian loaded the character 'Troylen Houston'
[15:15:22	][IC] C45:i3.HELIX-10: <:: Farkındayım. ::>
[15:15:25	][IC] C45:i3.HELIX-10: <:: Herkes uyuyor. ::>
[15:15:31	]Troylen Houston entered observer.
[15:15:44	]Troylen Houston ran SAM command 'hp' with arguments: 'Troylen' '100'
[15:15:48	]Troylen Houston is fully healed.
[15:15:51	]Troylen Houston ran SAM command 'asay' with arguments: 'luıci'
[15:15:54	]C45:i3.HELIX-10 ran SAM command 'asay' with arguments: 'efendim'
[15:15:54	]Arif Sertkesen exited observer at their location.
[15:16:02	]Theodore Abernathy exited observer at their location.
[15:16:03	]Troylen Houston ran SAM command 'asay' with arguments: 'sk için nekrotik spawnlim mi yada evnt charı olarak teror saldirisi'
[15:16:03	]Gerhard Reicher exited observer at their location.
[15:16:05	]Gerhard Reicher entered observer.
[15:16:05	]Arif Sertkesen entered observer.
[15:16:06	]Arif Sertkesen exited observer at their location.
[15:16:07	]Arif Sertkesen entered observer.
[15:16:10	]Theodore Abernathy entered observer.
