[21:46:12	]Lorf has connected.
[21:49:43	]Lorf loaded the character 'marta'
[21:50:01	]marta entered observer.
[21:50:01	]marta exited observer at their location.
[21:50:55	]marta has given himself a paper.
[21:50:56	]marta has gained a 'Paper' #3860.
[21:52:27	]marta entered observer.
[21:52:32	]marta exited observer at their location.
[21:52:36	]marta entered observer.
[21:52:39	]marta exited observer at their location.
[21:53:48	]marta has given himself a largebag.
[21:53:48	]marta has gained a 'Large Bag' #3861.
[21:53:58	]marta ran 'drop' on item 'OTA Charger Uniform' (#3843)
[21:53:58	]marta has lost a 'OTA Charger Uniform' #3843.
[21:53:59	]marta ran 'drop' on item 'Containment Uniform' (#3842)
[21:53:59	]marta has lost a 'Containment Uniform' #3842.
[21:54:01	]marta ran 'drop' on item 'Auxiliary Unit Uniform' (#3840)
[21:54:01	]marta has lost a 'Auxiliary Unit Uniform' #3840.
[21:54:04	]marta ran 'drop' on item 'CP Command Uniform' (#3847)
[21:54:04	]marta has lost a 'CP Command Uniform' #3847.
[21:54:09	]marta ran 'EquipUn' on item 'LFC Armband' (#3634)
[21:54:29	]marta ran 'drop' on item 'Large Bag' (#3861)
[21:54:29	]marta has lost a 'Large Bag' #3861.
[21:54:29	]marta has lost a 'Paper' #3860.
[21:54:29	]marta has lost a 'LFC Armband' #3634.
[21:54:29	]marta has lost a 'Charcoal Filter Refill' #3641.
[21:54:29	]marta has lost a 'Small Trash Bin' #3551.
[21:54:29	]marta has lost a 'OTA Mask' #3844.
[21:54:29	]marta has lost a 'Small Trash Bin' #3545.
[21:54:29	]marta has lost a 'Gas Mask' #3642.
[21:54:29	]marta has lost a 'Broadcasting Device' #3639.
[21:54:29	]marta has lost a 'Large Metal Desk' #3546.
[21:54:29	]marta has lost a 'Auxiliary CP Mask' #3839.
[21:54:29	]marta has lost a 'Small Trash Bin' #3547.
[21:54:29	]marta has lost a 'Combine Lock Breacher' #3171.
[21:54:29	]marta has lost a 'Wireless Microphone' #3638.
[21:54:29	]marta has lost a 'Newspaper' #3359.
[21:54:29	]marta has lost a 'Combine Filter' #3635.
[21:54:44	]marta destroyed a 'Containment Uniform' #3842.
[21:54:44	]marta destroyed a 'CP Command Uniform' #3847.
[21:54:45	]marta destroyed a 'OTA Charger Uniform' #3843.
[21:54:46	]marta destroyed a 'Large Bag' #3861.
[21:54:47	]marta destroyed a 'Auxiliary Unit Uniform' #3840.
[21:55:44	]marta has given himself a tacticalrifle.
[21:55:44	]marta has gained a 'OSITR' #3862.
[21:55:47	]marta ran 'Equip' on item 'OSITR' (#3862)
[21:56:07	]marta has given himself a magazine_otar_60rnd.
[21:56:07	]marta has gained a '60rnd OTAR-magazine' #3863.
[21:56:12	]marta has given himself a ar2ammo.
[21:56:12	]marta has gained a 'Pulse-Rifle Energy' #3864.
[21:56:14	]marta ran 'use' on item 'Pulse-Rifle Energy' (#3864)
[21:56:27	]marta has given himself a assaultammo.
[21:56:27	]marta has gained a 'Assault Rifle Ammo' #3865.
[21:56:29	]marta ran 'use' on item 'Assault Rifle Ammo' (#3865)
[21:56:58	]marta has given himself a bullets_pulse.
[21:56:58	]marta has gained a 'Pulse Rifle Bullets' #3866.
[21:56:59	]marta has given himself a bullets_dmr.
[21:56:59	]marta has gained a 'Rifle Bullets' #3867.
[21:57:13	]marta has given himself a bullets_assaultrifle.
[21:57:13	]marta has gained a 'Assault Rifle Bullets' #3868.
[21:57:17	]marta ran 'combine' on item '60rnd OTAR-magazine' (#3863)
[21:57:18	]marta has lost a '60rnd OTAR-magazine' #3863.
[21:57:44	]marta has given himself a bullets_assaultrifle.
