[16:08:40	]Revain has connected.
[16:18:40	]Revain (STEAM_0:1:608254786) deleted character 'Hamster'
[16:18:53	]Revain loaded the character 'Revain'
[16:18:58	]Revain is fully healed.
[16:18:58	]Revain entered observer.
[16:20:10	]Revain used command '/ActCheer'.
[16:20:13	]Revain exited observer at their location.
[16:20:14	]Revain used command '/ActCheer'.
[16:20:18	]Revain entered observer.
[16:21:00	]Revain ran 'Equip' on item 'Combine PDA' (#158060)
[16:21:05	]Revain exited observer at their location.
[16:21:06	]Revain entered observer.
[16:22:47	][IC] Revain: Girende yok.
[16:23:17	]Revain exited observer at their location.
[16:23:18	]Revain entered observer.
[16:24:17	]Revain exited observer at their location.
[16:24:18	]Revain used command '/DarwinAward revain'.
[16:24:23	]Revain entered observer.
[16:25:16	][IC] Revain: Enis.
[16:34:10	]Revain has unloaded their "Revain" character.
[16:34:35	]Revain loaded the character 'Dr. [REDACTED]'
[16:34:40	]Dr. [REDACTED] is fully healed.
[16:35:35	]Barış has connected.
[16:35:59	]Dr. [REDACTED] entered observer.
[16:36:12	]Barış loaded the character 'C24:i5.(X)KING-19'
[16:36:21	]Dr. [REDACTED] exited observer at their location.
[16:36:22	]Dr. [REDACTED] entered observer.
[16:36:22	]Dr. [REDACTED] exited observer at their location.
[16:36:24	]Dr. [REDACTED] entered observer.
[16:36:26	]Dr. [REDACTED] exited observer at their location.
[16:36:29	]Dr. [REDACTED] entered observer.
[16:36:34	]C24:i5.(X)KING-19 used command '/PM Dr. sa'.
[16:36:48	]Dr. [REDACTED] used command '/PM 19 as'.
[16:36:51	]C24:i5.(X)KING-19 used command '/PM Dr. sen en son şizofren ediyodun'.
[16:36:58	]C24:i5.(X)KING-19 used command '/PM Dr. tam 52 geliyodu gittin'.
[16:37:30	]C24:i5.(X)KING-19 has changed C24:i5.(X)KING-19's bodygroups.
[16:37:44	]C24:i5.(X)KING-19 used command '/PM dr giriyozmu role'.
[16:38:22	]C24:i5.(X)KING-19 used command '/PM dr giriyozmu role'.
[16:39:36	]Revain has unloaded their "Dr. [REDACTED]" character.
[16:39:46	]Revain loaded the character 'C24:i4.KING.52'
[16:39:51	]C24:i4.KING.52 is fully healed.
[16:39:52	]C24:i4.KING.52 entered observer.
[16:40:00	]C24:i4.KING.52 exited observer at their location.
[16:40:01	]C24:i4.KING.52 entered observer.
[16:40:01	]C24:i4.KING.52 exited observer at their location.
[16:40:07	][IC] C24:i4.KING.52: 19.
[16:40:13	][LOOC] C24:i5.(X)KING-19: bak bi şu dm ye steam
[16:40:38	][LOOC] C24:i5.(X)KING-19: baştan alalım diyorum bi şu şizofreni yerini
[16:41:10	]C24:i4.KING.52 entered observer.
[16:41:38	]C24:i5.(X)KING-19 has lost a '17rnd USP Magazine' #165803.
[16:41:38	]C24:i5.(X)KING-19 has gained a '17rnd USP Magazine' #165802.
[16:41:49	][IC] C24:i5.(X)KING-19: <:: LANET OLSUN. ::>
[16:41:52	][IC] C24:i5.(X)KING-19: <:: NE OLUYO BE. ::>
[16:41:56	]C24:i4.KING.52 used command '/PlaySound music/scary_tense/youfuckedup.ogg 700'.
[16:42:08	][IC] C24:i5.(X)KING-19: <:: Ha? ::>
[16:42:14	]C24:i4.KING.52 exited observer at their location.
[16:42:16	]C24:i4.KING.52 entered observer.
[16:42:22	][Y] C24:i5.(X)KING-19: <:: NE OLUYO LAN. ::>
[16:42:29	]C24:i4.KING.52 has spawned 'models/props_c17/gravestone_coffinpiece001a.mdl'.
[16:42:41	]C24:i4.KING.52 has used a context menu option with the name: rb655_door_lock
[16:42:44	]C24:i4.KING.52 has used a context menu option with the name: rb655_door_unlock
[16:42:47	]C24:i4.KING.52 has used a context menu option with the name: rb655_door_lock
[16:42:57	]C24:i4.KING.52 has used a context menu option with the name: rb655_door_unlock
[16:43:00	]C24:i4.KING.52 has used a context menu option with the name: rb655_door_lock
[16:43:06	][IC] C24:i5.(X)KING-19: <:: Kapıya ne oldu? ::>
[16:43:09	]C24:i4.KING.52 has spawned 'models/props_c17/gravestone_coffinpiece001a.mdl'.
[16:43:14	][IT] C24:i4.KING.52: 20'in mezarı..
[16:43:18	][LOOC] C24:i5.(X)KING-19: LŞFHGİMLŞGFMHFD
[16:43:22	][IC] C24:i5.(X)KING-19: <:: LAN NE OLUYO. ::>
[16:43:33	]C24:i4.KING.52 has used a context menu option with the name: rb655_door_unlock
[16:43:41	][IC] C24:i5.(X)KING-19: <:: Ha? ::>
