[00:33:35	]Enistein has connected.
[00:34:14	]Enistein loaded the character 'Theodore Abernathy'
[00:34:20	]Theodore Abernathy entered observer.
[00:34:48	]Theodore Abernathy exited observer at their location.
[00:34:56	]Theodore Abernathy entered observer.
[00:35:39	]Theodore Abernathy exited observer at their location.
[00:35:41	]Theodore Abernathy entered observer.
[00:40:27	]Glunar has connected.
[00:41:29	]Theodore Abernathy is fully healed.
[00:41:41	]Cheese has connected.
[00:42:43	]Cheese loaded the character 'Sarah Goodwell'
[00:42:48	]Sarah Goodwell is fully healed.
[00:46:28	]Sarah Goodwell entered observer.
[00:46:29	]Sarah Goodwell exited observer at their location.
[00:46:32	]Sarah Goodwell entered observer.
[00:46:32	]Sarah Goodwell exited observer at their location.
[00:46:35	]Glunar loaded the character 'Nick Durman'
[00:46:35	]Sarah Goodwell entered observer.
[00:46:36	]Sarah Goodwell exited observer at their location.
[00:46:37	]Sarah Goodwell entered observer.
[00:46:37	]Sarah Goodwell exited observer at their location.
[00:46:40	]Sarah Goodwell entered observer.
[00:46:40	]Sarah Goodwell exited observer at their location.
[00:46:41	]Nick Durman entered observer.
[00:46:48	]Nick Durman exited observer at their location.
[00:46:55	]Nick Durman entered observer.
[00:47:03	]Sarah Goodwell entered observer.
[00:47:04	]Sarah Goodwell exited observer at their location.
[00:47:07	]Sarah Goodwell entered observer.
[00:47:08	]Sarah Goodwell exited observer at their location.
[00:47:08	]Nick Durman exited observer at their location.
[00:47:09	]Nick Durman entered observer.
[00:47:11	]Nick Durman exited observer at their location.
[00:47:11	]Nick Durman entered observer.
[00:47:11	]Nick Durman exited observer at their location.
[00:47:21	]Theodore Abernathy exited observer at their location.
[00:47:45	]Sarah Goodwell entered observer.
[00:47:45	]Sarah Goodwell exited observer at their location.
[00:47:47	]Sarah Goodwell entered observer.
[00:47:47	]Sarah Goodwell exited observer at their location.
[00:48:09	]Cheese has unloaded their "Sarah Goodwell" character.
[00:48:15	]Cheese loaded the character 'Sarah Goodwell'
[00:48:16	]Nick Durman entered observer.
[00:48:17	]Nick Durman exited observer at their location.
[00:48:20	]Nick Durman entered observer.
[00:48:21	]Nick Durman exited observer at their location.
[00:48:22	]Nick Durman entered observer.
[00:48:23	]Nick Durman exited observer at their location.
[00:48:23	]Nick Durman entered observer.
[00:48:25	]Nick Durman exited observer at their location.
[00:48:37	]Theodore Abernathy has spawned 'models/props_c17/oildrum001_explosive.mdl'.
[00:48:40	]Theodore Abernathy has used a context menu option with the name: rb655_breakable_break
[00:48:40	]Theodore Abernathy was knocked unconscious and is bleeding out.
[00:48:43	]Theodore Abernathy ran SAM command 'respawn' with arguments: ''
[00:48:56	]Sarah Goodwell ran SAM command 'asay' with arguments: 'karekterim bozulmuş'
[00:49:03	]Theodore Abernathy ran SAM command 'asay' with arguments: 'omg'
[00:49:06	]Theodore Abernathy ran SAM command 'goto' with arguments: 'sarah'
[00:49:43	]Nick Durman entered observer.
