[14:56:28	]Guilgouille s'est connecté.
[14:57:21	]Guilgouille chargé le personnage 'Guilgouille'
[14:57:26	]Guilgouille est complètement guéri.
[14:57:34	]Guilgouille a utilisé la commande '/EventIntro'.
[14:58:20	]Guilgouille a activé le mode observateur.
[14:58:20	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:58:23	]Guilgouille a activé le mode observateur.
[14:58:23	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:58:24	]Guilgouille a activé le mode observateur.
[14:58:24	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:58:25	]Guilgouille a activé le mode observateur.
[14:58:25	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:58:26	]Guilgouille a activé le mode observateur.
[14:58:27	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:58:27	]Guilgouille a utilisé la commande '/CharFallOver 0.5'.
[14:58:33	]Guilgouille a activé le mode observateur.
[14:58:48	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:58:48	]Guilgouille a activé le mode observateur.
[14:58:48	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:58:51	]Guilgouille a activé le mode observateur.
[14:58:51	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:58:52	]Guilgouille a activé le mode observateur.
[14:58:52	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:58:54	]Guilgouille a activé le mode observateur.
[14:58:54	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:58:56	]Guilgouille a activé le mode observateur.
[14:58:56	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:17	]Guilgouille a activé le mode observateur.
[14:59:17	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:18	]Guilgouille a activé le mode observateur.
[14:59:19	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:20	]Guilgouille a activé le mode observateur.
[14:59:20	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:22	]Guilgouille a activé le mode observateur.
[14:59:23	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:24	]Guilgouille a activé le mode observateur.
[14:59:24	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:25	]Guilgouille a activé le mode observateur.
[14:59:25	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:26	]Guilgouille a activé le mode observateur.
[14:59:26	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:27	]Guilgouille a activé le mode observateur.
[14:59:27	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:28	]Guilgouille a activé le mode observateur.
[14:59:29	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:35	]Guilgouille a activé le mode observateur.
[14:59:35	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:36	]Guilgouille a activé le mode observateur.
[14:59:36	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:38	]Guilgouille a activé le mode observateur.
[14:59:38	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:39	]Guilgouille a activé le mode observateur.
[14:59:39	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:40	]Guilgouille a activé le mode observateur.
[14:59:41	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:42	]Guilgouille a activé le mode observateur.
[14:59:42	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:43	]Guilgouille a activé le mode observateur.
[14:59:43	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:44	]Guilgouille a activé le mode observateur.
[14:59:45	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:45	]Guilgouille a activé le mode observateur.
[14:59:47	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:48	]Guilgouille a activé le mode observateur.
[14:59:48	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:49	]Guilgouille a activé le mode observateur.
[14:59:49	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:50	]Guilgouille a activé le mode observateur.
[14:59:50	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:52	]Guilgouille a activé le mode observateur.
[14:59:52	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:53	]Guilgouille a activé le mode observateur.
[14:59:53	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:54	]Guilgouille a activé le mode observateur.
[14:59:54	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:55	]Guilgouille a activé le mode observateur.
[14:59:55	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:56	]Guilgouille a activé le mode observateur.
[14:59:57	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:58	]Guilgouille a activé le mode observateur.
[14:59:58	]Guilgouille a désactivé le mode observateur à son point d'origine.
[14:59:59	]Guilgouille a activé le mode observateur.
[14:59:59	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:00	]Guilgouille a activé le mode observateur.
[15:00:00	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:01	]Guilgouille a activé le mode observateur.
[15:00:02	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:03	]Guilgouille a activé le mode observateur.
[15:00:03	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:04	]Guilgouille a activé le mode observateur.
[15:00:04	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:05	]Guilgouille a activé le mode observateur.
[15:00:05	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:06	]Guilgouille a activé le mode observateur.
[15:00:06	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:07	]Guilgouille a activé le mode observateur.
[15:00:07	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:08	]Guilgouille a activé le mode observateur.
[15:00:10	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:11	]Guilgouille a activé le mode observateur.
[15:00:11	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:12	]Guilgouille a activé le mode observateur.
[15:00:12	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:14	]Guilgouille a activé le mode observateur.
[15:00:14	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:15	]Guilgouille a activé le mode observateur.
[15:00:16	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:17	]Guilgouille a activé le mode observateur.
[15:00:18	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:19	]Guilgouille a activé le mode observateur.
[15:00:19	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:20	]Guilgouille a activé le mode observateur.
[15:00:20	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:21	]Guilgouille a activé le mode observateur.
[15:00:22	]Guilgouille a désactivé le mode observateur à son point d'origine.
[15:00:23	]Guilgouille a activé le mode observateur.
[15:00:23	]Guilgouille a désactivé le mode observateur à son point d'origine.
