[17:55:59	]Shane Walsh has connected.
[17:56:30	]Shane Walsh loaded the character 'C24:i5.(X)KING-19'
[17:56:45	]C24:i5.(X)KING-19 opened the 'Rasyon Bölgesi Deposu' stash.
[17:56:48	]C24:i5.(X)KING-19 has lost a 'Naneli Çikolatalı Dondurma' #167521.
[17:56:48	]C24:i5.(X)KING-19 has transferred a 'Naneli Çikolatalı Dondurma' #167521 to a container with the name 'Rasyon Bölgesi Deposu' #8941.
[17:56:48	]C24:i5.(X)KING-19 has lost a 'Tuzlu Karamelli Fıstıklı Dondurma' #167520.
[17:56:48	]C24:i5.(X)KING-19 has transferred a 'Tuzlu Karamelli Fıstıklı Dondurma' #167520 to a container with the name 'Rasyon Bölgesi Deposu' #8941.
[17:56:49	]C24:i5.(X)KING-19 closed the 'Rasyon Bölgesi Deposu' stash.
[17:57:02	]Ender has connected.
[17:57:51	]Ender loaded the character 'Tavisha Yaroslav'
[17:59:41	]Tavisha Yaroslav has hit C24:i5.(X)KING-19 dealing 3 damage (CritChance was 0.00).
[17:59:41	]C24:i5.(X)KING-19 has taken 3 damage from Tavisha Yaroslav.
[17:59:41	]Tavisha Yaroslav has damaged C24:i5.(X)KING-19, dealing 5 with ix_hands
[17:59:44	]Tavisha Yaroslav used command '/ToggleRaise'.
[17:59:53	]C24:i5.(X)KING-19 has critically hit Tavisha Yaroslav dealing 24 damage (CritChance was 1.00).
[17:59:53	]Tavisha Yaroslav has taken 24 damage from C24:i5.(X)KING-19.
[17:59:53	]Tavisha Yaroslav has hit C24:i5.(X)KING-19 dealing 3 damage (CritChance was 0.00).
[17:59:53	]C24:i5.(X)KING-19 has taken 3 damage from Tavisha Yaroslav.
[17:59:53	]Tavisha Yaroslav has damaged C24:i5.(X)KING-19, dealing 5.0003 with ix_hands
[17:59:54	]C24:i5.(X)KING-19 has critically hit Tavisha Yaroslav dealing 24 damage (CritChance was 1.00).
[17:59:54	]Tavisha Yaroslav has taken 24 damage from C24:i5.(X)KING-19.
[18:00:00	]C24:i5.(X)KING-19 has critically hit Tavisha Yaroslav dealing 24 damage (CritChance was 1.00).
[18:00:00	]Tavisha Yaroslav has taken 24 damage from C24:i5.(X)KING-19.
[18:00:05	]Tavisha Yaroslav has hit C24:i5.(X)KING-19 dealing 3 damage (CritChance was 0.00).
[18:00:05	]C24:i5.(X)KING-19 has taken 3 damage from Tavisha Yaroslav.
[18:00:05	]Tavisha Yaroslav has damaged C24:i5.(X)KING-19, dealing 5.0006 with ix_hands
[18:00:05	]C24:i5.(X)KING-19 has critically hit Tavisha Yaroslav dealing 24 damage (CritChance was 1.00).
[18:00:05	]Tavisha Yaroslav has taken 24 damage from C24:i5.(X)KING-19.
[18:00:06	]C24:i5.(X)KING-19 has critically hit Tavisha Yaroslav dealing 24 damage (CritChance was 1.00).
[18:00:06	]Tavisha Yaroslav was knocked unconscious and is bleeding out.
[18:00:15	]C24:i5.(X)KING-19 ran 'give' on item 'Bandaj Rulosu' (#167005)
[18:00:15	]C24:i5.(X)KING-19 has performed the 'Use Bandaj Rulosu' action, gaining 15 experience in medicine.
[18:00:15	]Tavisha Yaroslav's bleeding was stopped by C24:i5.(X)KING-19.
[18:00:15	]Tavisha Yaroslav was bandaged by C24:i5.(X)KING-19 for 17 HP.
[18:00:21	]Ender has unloaded their "Tavisha Yaroslav" character.
[18:00:24	]Ender loaded the character 'Jeam Saold'
[18:00:29	]Jeam Saold is fully healed.
[18:00:40	]Ender has unloaded their "Jeam Saold" character.
[18:00:43	]Ender loaded the character 'Decaf Cannon'
[18:00:48	]Decaf Cannon is fully healed.
[18:01:28	]Decaf Cannon has gained level 44 in the Hız skill.
[18:01:50	]C24:i5.(X)KING-19 has taken 2 damage from worldspawn.
[18:02:00	]Decaf Cannon ran 'drop' on item 'Sanayi Toplumu Ve Geleceği' (#136623)
[18:02:00	]Decaf Cannon has lost a 'Sanayi Toplumu Ve Geleceği' #136623.
[18:02:06	]C24:i5.(X)KING-19 ran 'Write' on item 'Sanayi Toplumu Ve Geleceği' (#136623)
[18:02:09	]C24:i5.(X)KING-19 ran 'take' on item 'Sanayi Toplumu Ve Geleceği' (#136623)
[18:02:09	]C24:i5.(X)KING-19 has gained a 'Sanayi Toplumu Ve Geleceği' #136623.
[18:02:17	]Decaf Cannon ran 'drop' on item 'Mutfak Bıçağı' (#151995)
[18:02:17	]Decaf Cannon has lost a 'Mutfak Bıçağı' #151995.
[18:02:20	]C24:i5.(X)KING-19 ran 'drop' on item 'Sanayi Toplumu Ve Geleceği' (#136623)
[18:02:20	]C24:i5.(X)KING-19 has lost a 'Sanayi Toplumu Ve Geleceği' #136623.
[18:02:31	][ME] Decaf Cannon: bıçağı sknın götüne oskar
[18:02:35	]Decaf Cannon ran 'take' on item 'Mutfak Bıçağı' (#151995)
[18:02:35	]Decaf Cannon has gained a 'Mutfak Bıçağı' #151995.
[18:02:41	]Shane Walsh has unloaded their "C24:i5.(X)KING-19" character.
[18:02:44	]Shane Walsh loaded the character 'S10/OWS.FLASH-15'
[18:02:49	]S10/OWS.FLASH-15 is fully healed.
