[15:06:12	]Shane Walsh has connected.
[15:08:20	]Shane Walsh loaded the character 'C24:i4.HELIX-86'
[15:09:07	]C24:i4.HELIX-86 used command '/Radio 10-8'.
[15:09:50	]C24:i4.HELIX-86 is fully healed.
[15:13:02	]Victorian has connected.
[15:13:47	]C24:i4.HELIX-86 has acquired his ration, gaining 0 credits, 0 wages and a civil_protection_ration ration.
[15:14:00	]C24:i4.HELIX-86 ran 'take' on item 'Sivil Koruma Rasyonu' (#69144)
[15:14:00	]C24:i4.HELIX-86 has gained a 'Sivil Koruma Rasyonu' #69144.
[15:14:03	]C24:i4.HELIX-86 ran 'Open' on item 'Sivil Koruma Rasyonu' (#69144)
[15:14:03	]C24:i4.HELIX-86 has gained a 'Metropolice Takviyeleri' #69145.
[15:14:03	]C24:i4.HELIX-86 has gained a 'Soda Bob Brawn' #69146.
[15:14:03	]C24:i4.HELIX-86 has gained a '20 Kredi Kuponu' #69147.
[15:14:04	]C24:i4.HELIX-86 ran 'Consume' on item 'Soda Bob Brawn' (#69146)
[15:14:04	]C24:i4.HELIX-86 extended their level 1 long boost in Algı.
[15:14:04	]C24:i4.HELIX-86 extended their level 2 long boost in Çeviklik.
[15:14:05	]C24:i4.HELIX-86 ran 'Consume' on item 'Metropolice Takviyeleri' (#69145)
[15:14:05	]C24:i4.HELIX-86 extended their level 3 long boost in Güç.
[15:16:13	]C24:i4.HELIX-86 ran 'Use' on item '20 Kredi Kuponu' (#69147)
[15:16:15	]C24:i4.HELIX-86 has used a coupon at a ration dispenser, gaining 20 credits.
[15:17:17	]Victorian (STEAM_0:0:577700614) deleted character 'Maria Stein'
[15:17:19	]Victorian loaded the character 'Hilbert Ritter'
[15:17:42	]Hilbert Ritter entered observer.
[15:18:18	][LOOC] C24:i4.HELIX-86: vanishten çık olm
[15:18:24	][LOOC] C24:i4.HELIX-86: az görüm yüzünü
[15:18:41	]Hilbert Ritter exited observer at their location.
[15:18:42	]Hilbert Ritter entered observer.
[15:18:53	]Hilbert Ritter exited observer at their location.
[15:20:30	][LOOC] C24:i4.HELIX-86: victorian
[15:20:39	][LOOC] C24:i4.HELIX-86: ordamısın
[15:21:30	]Victorian created the character 'Granda Malenyev'
[15:21:30	]Victorian loaded the character 'Granda Malenyev'
[15:21:30	]Granda Malenyev has gained a 'Açık Gri Kol Bandı' #69148.
[15:21:30	]Granda Malenyev has gained a '#12260 Kimlik Kartı' #69149.
[15:21:30	]Granda Malenyev has gained a 'Gri Tulum' #69150.
[15:21:30	]Granda Malenyev has gained a 'Siyah tulum pantolonu' #69151.
[15:21:30	]Granda Malenyev has gained a 'Gözlükler' #69152.
[15:21:38	]Granda Malenyev ran 'Equip' on item 'Açık Gri Kol Bandı' (#69148)
[15:21:42	]Granda Malenyev entered observer.
[15:21:43	]Granda Malenyev exited observer at their location.
[15:21:49	]Granda Malenyev has spawned a torso_blue_rebel_uniform.
[15:21:52	]Granda Malenyev ran 'take' on item 'Mavi Direniş Üniforması' (#69153)
[15:21:52	]Granda Malenyev has gained a 'Mavi Direniş Üniforması' #69153.
[15:22:07	]Granda Malenyev has spawned a head_gasmask.
[15:22:09	]Granda Malenyev ran 'take' on item 'Gaz Maskesi' (#69154)
[15:22:09	]Granda Malenyev has gained a 'Gaz Maskesi' #69154.
[15:22:30	][LOOC] C24:i4.HELIX-86: olm rp yapak gün yüzüne çık
[15:22:37	]Granda Malenyev entered observer.
[15:22:57	]Granda Malenyev exited observer at their location.
[15:23:03	]Granda Malenyev has spawned a akm.
[15:23:06	]Granda Malenyev ran 'take' on item 'AKM' (#69155)
[15:23:06	]Granda Malenyev has gained a 'AKM' #69155.
[15:23:08	]Granda Malenyev ran 'Equip' on item 'AKM' (#69155)
[15:23:28	]Granda Malenyev has spawned a attn_30rnd_mag.
[15:23:31	]Granda Malenyev ran 'take' on item 'Extended 30rnd Magazine' (#69156)
[15:23:31	]Granda Malenyev has gained a 'Extended 30rnd Magazine' #69156.
[15:23:32	]Granda Malenyev has spawned a magazine_mp_30rnd.
[15:23:33	]Granda Malenyev has spawned a attn_30rnd_mag.
[15:23:34	]Granda Malenyev has spawned a attn_30rnd_mag.
[15:23:36	]Granda Malenyev ran 'take' on item 'Extended 30rnd Magazine' (#69159)
[15:23:36	]Granda Malenyev has gained a 'Extended 30rnd Magazine' #69159.
[15:23:37	]Granda Malenyev ran 'take' on item 'Extended 30rnd Magazine' (#69158)
[15:23:37	]Granda Malenyev has gained a 'Extended 30rnd Magazine' #69158.
[15:23:39	]C24:i4.HELIX-86 used command '/Radio Plaza bölgesinde bir hareketlenme yok.'.
[15:23:44	]Granda Malenyev has used a context menu option with the name: remove
[15:23:53	]C24:i4.HELIX-86 used command '/Radio Bulunduğum konumda gece vardiyasındayım.'.
[15:24:23	]C24:i4.HELIX-86 used command '/Radio 10-12'.
[15:24:49	]Granda Malenyev entered observer.
[15:25:20	]Granda Malenyev has spawned a bullets_smg1.
[15:25:20	]Granda Malenyev has spawned a bullets_smg1.
[15:25:21	]Granda Malenyev has spawned a bullets_smg1.
[15:25:22	]Granda Malenyev ran 'take' on item 'SMG Mermisi' (#69162)
[15:25:22	]Granda Malenyev has gained a 'SMG Mermisi' #69162.
[15:25:23	]Granda Malenyev ran 'take' on item 'SMG Mermisi' (#69161)
[15:25:23	]Granda Malenyev has gained a 'SMG Mermisi' #69161.
[15:25:24	]Granda Malenyev ran 'take' on item 'SMG Mermisi' (#69160)
[15:25:24	]Granda Malenyev has gained a 'SMG Mermisi' #69160.
[15:25:31	][ME] C24:i4.HELIX-86: Ellerini birleştirip etrafa bakar.
[15:25:41	]Deadasf has connected.
[15:26:03	]C24:i4.HELIX-86 used command '/Radio Kod 12.'.
[15:26:10	]C24:i4.HELIX-86 used command '/Radio Bir hareketlilik yok.'.
[15:26:15	][LOOC] Granda Malenyev: muerte geldi
[15:26:20	]C24:i4.HELIX-86 ran 'combine' on item '17rnd Usp-Şarjörü' (#65796)
[15:26:25	]Deadasf loaded the character 'OSG:ODL-09'
[15:26:28	][IC] C24:i4.HELIX-86: <:: Mh. ::>
[15:26:37	][LOOC] C24:i4.HELIX-86: aga bi çık karşıma rp yapak
[15:26:38	]Granda Malenyev exited observer at their location.
[15:26:39	]Granda Malenyev entered observer.
[15:26:39	]Granda Malenyev exited observer at their location.
[15:26:40	]Granda Malenyev entered observer.
[15:26:45	][LOOC] C24:i4.HELIX-86: görünmez takılma
[15:27:04	]OSG:ODL-09 used command '/Radio catwalk partol inbound'.
[15:27:10	]Granda Malenyev exited observer at their location.
[15:27:11	]C24:i4.HELIX-86 used command '/Radio Copy2'.
[15:27:30	]C24:i4.HELIX-86 used command '/Radio Kod 12.'.
[15:27:30	]Granda Malenyev ran 'EquipUn' on item 'AKM' (#69155)
[15:27:32	]Granda Malenyev ran 'drop' on item 'AKM' (#69155)
[15:27:32	]Granda Malenyev has lost a 'AKM' #69155.
[15:27:38	]C24:i4.HELIX-86 used command '/Radio Bir hareketlilik yok.'.
[15:27:38	]Granda Malenyev has used a context menu option with the name: remove
[15:28:02	]Granda Malenyev entered observer.
[15:28:13	]OSG:ODL-09 used command '/Radio socio stable'.
[15:28:20	]Granda Malenyev used command '/Event Şehrin gecekondu bölgelerinden, ateşli silah sesleri duymaya başlıyorsunuz.'.
[15:28:24	]Granda Malenyev exited observer at their location.
[15:28:31	]Granda Malenyev entered observer.
[15:28:32	]Granda Malenyev has spawned 'models/Police.mdl'.
[15:28:41	]C24:i4.HELIX-86 used command '/Radio OSG Birimleri dikkatine Joe Rock adlı şahıs sivil korumalara ateş edip yaralamaktan BOL listesinde acil görüldüğü yerde ampute edilmesi talep ediliyor.'.
[15:28:44	]C24:i4.HELIX-86 used command '/Radio 34A'.
[15:28:49	]Granda Malenyev has used a context menu option with the name: remove
