[18:38:39	]Inkaaz has connected.
[18:41:00	]Inkaaz loaded the character 'Giga czad'
[18:41:17	]Giga czad ran 'Equip' on item 'Black Armband' (#4147)
[18:43:16	]Giga czad entered observer.
[18:43:16	]Giga czad exited observer at their location.
[18:43:17	]Giga czad entered observer.
[18:43:17	]Giga czad exited observer at their location.
[18:43:18	]Giga czad entered observer.
[18:43:18	]Giga czad exited observer at their location.
[18:43:38	]Giga czad entered observer.
[18:43:38	]Giga czad exited observer at their location.
[18:43:39	]Giga czad entered observer.
[18:43:41	]Giga czad exited observer at their location.
[18:43:56	]Giga czad entered observer.
[18:43:59	]Giga czad exited observer at their location.
[18:44:02	]Giga czad entered observer.
[18:44:11	]Giga czad exited observer at their location.
[18:44:15	]Giga czad entered observer.
[18:44:16	]Giga czad exited observer at their location.
[18:44:16	]Giga czad entered observer.
[18:44:40	]Giga czad exited observer at their location.
[18:44:59	]Giga czad entered observer.
[18:44:59	]Giga czad exited observer at their location.
[18:46:11	]Giga czad entered observer.
[18:46:17	]Giga czad exited observer at their location.
[18:46:55	]Giga czad entered observer.
[18:46:56	]Giga czad exited observer at their location.
[18:47:40	]Giga czad entered observer.
[18:48:27	]Giga czad exited observer at their location.
[18:48:30	]Giga czad entered observer.
[18:48:33	]Giga czad exited observer at their location.
[18:48:56	]Giga czad entered observer.
[18:48:57	]Giga czad exited observer at their location.
[18:49:26	]Giga czad entered observer.
[18:49:28	]Giga czad exited observer at their location.
[18:49:36	]Giga czad entered observer.
[18:49:38	]Giga czad exited observer at their location.
[18:50:45	]Giga czad entered observer.
[18:50:50	]Giga czad exited observer at their location.
[18:50:50	]Giga czad entered observer.
[18:50:51	]Giga czad exited observer at their location.
[18:50:52	]Giga czad entered observer.
[18:50:54	]Giga czad exited observer at their location.
[18:51:23	]Giga czad entered observer.
[18:51:24	]Giga czad exited observer at their location.
[18:51:33	]Giga czad entered observer.
[18:51:34	]Giga czad exited observer at their location.
[18:51:37	]Giga czad entered observer.
[18:51:39	]Giga czad exited observer at their location.
[18:51:41	]Giga czad entered observer.
[18:51:42	]Giga czad exited observer at their location.
[18:51:44	]Giga czad entered observer.
[18:51:45	]Giga czad exited observer at their location.
[18:51:46	]Giga czad entered observer.
[18:51:46	]Giga czad exited observer at their location.
[18:51:48	]Giga czad entered observer.
[18:51:49	]Giga czad exited observer at their location.
[18:51:52	]Giga czad entered observer.
[18:51:53	]Giga czad exited observer at their location.
[18:51:55	]Giga czad entered observer.
[18:51:56	]Giga czad exited observer at their location.
[18:51:57	]Giga czad entered observer.
[18:51:58	]Giga czad exited observer at their location.
[18:51:59	]Giga czad entered observer.
[18:52:01	]Giga czad exited observer at their location.
[18:52:02	]Giga czad entered observer.
[18:52:03	]Giga czad exited observer at their location.
[18:52:05	]Giga czad entered observer.
[18:52:06	]Giga czad exited observer at their location.
[18:52:08	]Giga czad entered observer.
[18:52:09	]Giga czad exited observer at their location.
[18:52:23	]Giga czad entered observer.
[18:52:25	]Giga czad exited observer at their location.
[18:52:26	]Giga czad entered observer.
[18:52:27	]Giga czad exited observer at their location.
[18:52:28	]Giga czad entered observer.
[18:52:28	]Giga czad exited observer at their location.
[18:52:30	]Giga czad entered observer.
[18:52:30	]Giga czad exited observer at their location.
[18:53:40	]Giga czad entered observer.
[18:53:41	]Giga czad exited observer at their location.
[18:53:42	]Giga czad entered observer.
[18:53:43	]Giga czad exited observer at their location.
[18:54:53	]Giga czad entered observer.
[18:54:54	]Giga czad exited observer at their location.
[18:55:52	]Giga czad ran SAM command 'menu' with arguments: ''
[18:55:54	]Giga czad ran SAM command 'menu' with arguments: ''
[18:56:10	]Giga czad ran SAM command 'menu' with arguments: ''
[18:56:18	]Giga czad ran SAM command 'setrankid' with arguments: 'STEAM_0:1:49395145' 'superadmin'
[18:57:50	]Giga czad ran SAM command 'mapreset' with arguments: ''
[18:58:06	]Giga czad has spawned a 'Entity [137][ix_console]'.
[18:58:10	]Giga czad has spawned a 'Entity [137][ix_terminal]'.
[18:58:12	]Giga czad has spawned a 'Entity [137][ix_terminal]'.
[18:58:13	]Giga czad has spawned a 'Entity [138][ix_terminal]'.
[18:58:22	]Giga czad entered observer.
[18:58:24	]Giga czad exited observer at their location.
[18:58:26	]Giga czad entered observer.
[18:58:40	]Giga czad exited observer at their location.
[18:59:11	]Giga czad used command '/clothingcreator'.
[19:01:11	]Giga czad has spawned a helmet_medic.
[19:01:15	]Giga czad has spawned a fedora_white.
[19:01:22	]Giga czad entered observer.
[19:01:23	]Giga czad exited observer at their location.
[19:01:25	]Giga czad has used a context menu option with the name: remove
[19:01:26	]Giga czad has spawned a head_fedora.
[19:01:40	]Giga czad has spawned a head_fedora.
[19:01:45	]Giga czad ran 'take' on item 'Black Fedora' (#4190)
[19:01:45	]Giga czad has gained a 'Black Fedora' #4190.
[19:01:59	]Giga czad ran 'EquipUn' on item 'Black Armband' (#4147)
[19:02:11	]Giga czad has given himself a cca_coat_heartwick.
[19:02:11	]Giga czad has gained a 'Heartwick's Trenchcoat' #4191.
[19:02:16	]Giga czad has given himself a cca_executive.
[19:02:16	]Giga czad has gained a 'The Executive' #4192.
[19:02:27	]Giga czad has given himself a cca_legs_paperweight.
[19:02:27	]Giga czad has gained a 'The Paperweight Trousers' #4193.
[19:02:41	]Giga czad has given himself a cca_coat_heartwick.
[19:02:41	]Giga czad has gained a 'Heartwick's Trenchcoat' #4194.
[19:02:51	]Giga czad has given himself a cca_legs_heartwick.
[19:02:51	]Giga czad has gained a 'The Heartwick Trousers' #4195.
[19:03:40	]Giga czad has spawned a 'NPC [138][npc_vj_city_scanner_z]'.
[19:03:53	]Giga czad has spawned a 'NPC [138][npc_vj_assassin_synth_z]'.
[19:04:06	]Giga czad has given himself a beard_razor.
[19:04:06	]Giga czad has gained a 'Hairdresser tools' #4196.
[19:04:08	]Giga czad ran 'Style' on item 'Hairdresser tools' (#4196)
[19:04:14	]Giga czad ran 'Style2' on item 'Hairdresser tools' (#4196)
[19:04:22	]Giga czad ran 'Style' on item 'Hairdresser tools' (#4196)
[19:05:05	]Giga czad ran 'Style' on item 'Hairdresser tools' (#4196)
[19:05:54	]Inkaaz has unloaded their "Giga czad" character.
[19:05:59	]Inkaaz loaded the character 'Kash'Ash'
[19:06:04	]Kash'Ash is fully healed.
[19:06:11	]Kash'Ash has given himself a ing_xen_extract.
[19:06:12	]Kash'Ash has gained a 'Antlion Extract' #4197.
[19:06:14	]Kash'Ash ran 'Consume' on item 'Antlion Extract' (#4197)
[19:06:27	]Kash'Ash used command '/vortessence'.
[19:06:38	]Kash'Ash ran 'drop' on item 'Vortigaunt Antlion Guard Plate' (#2605)
[19:06:38	]Kash'Ash has lost a 'Vortigaunt Antlion Guard Plate' #2605.
