[18:23:18	]Revain has connected.
[18:24:10	]Revain loaded the character 'C24:RCT.YELLO-23'
[18:24:41	]C24:RCT.YELLO-23 entered observer.
[18:27:10	]C24:RCT.YELLO-23 is fully healed.
[18:27:15	]Barış has connected.
[18:27:41	]C24:RCT.YELLO-23 exited observer at their location.
[18:27:44	]C24:RCT.YELLO-23 entered observer.
[18:27:56	]C24:RCT.YELLO-23 exited observer at their location.
[18:27:56	]C24:RCT.YELLO-23 entered observer.
[18:27:57	]C24:RCT.YELLO-23 exited observer at their location.
[18:27:57	]C24:RCT.YELLO-23 entered observer.
[18:27:57	]C24:RCT.YELLO-23 exited observer at their location.
[18:27:57	]C24:RCT.YELLO-23 entered observer.
[18:27:58	]C24:RCT.YELLO-23 exited observer at their location.
[18:27:58	]C24:RCT.YELLO-23 entered observer.
[18:27:58	]C24:RCT.YELLO-23 exited observer at their location.
[18:27:58	]C24:RCT.YELLO-23 entered observer.
[18:27:59	]C24:RCT.YELLO-23 exited observer at their location.
[18:28:00	]C24:RCT.YELLO-23 entered observer.
[18:28:14	]Barış loaded the character 'S10:SCN-3'
[18:28:45	]C24:RCT.YELLO-23 used command '/PM scn karaktere geç çekicem'.
[18:28:48	]Barış has unloaded their "S10:SCN-3" character.
[18:28:52	]Barış loaded the character 'C24:i5.(X)KING-19'
[18:29:18	]C24:RCT.YELLO-23 ran SAM command 'bring' with arguments: '19'
[18:29:19	]C24:RCT.YELLO-23 exited observer at their location.
[18:29:37	][LOOC] C24:RCT.YELLO-23: buraya geri geliyoduk
[18:29:48	][LOOC] C24:RCT.YELLO-23: kalsın aga ne olcak
[18:30:05	][LOOC] C24:RCT.YELLO-23: refuserp ban xd
[18:30:42	]C24:RCT.YELLO-23 entered observer.
[18:30:49	]C24:i5.(X)KING-19 was knocked unconscious and is bleeding out.
[18:30:49	]C24:i5.(X)KING-19 has gained a '17rnd USP Magazine' #165801.
[18:30:51	]Handschar | Leibs has connected.
[18:30:51	]C24:RCT.YELLO-23 exited observer at their location.
[18:30:57	]C24:RCT.YELLO-23 ran SAM command 'hp' with arguments: '19' '100'
[18:30:57	]C24:i5.(X)KING-19 is no longer unconscious from critical wounds.
[18:30:57	]C24:i5.(X)KING-19 is fully healed.
[18:30:59	]C24:RCT.YELLO-23 entered observer.
[18:31:04	]C24:RCT.YELLO-23 ran SAM command 'hp' with arguments: '19' '32'
[18:31:11	]C24:i5.(X)KING-19 ran 'use' on item 'Bandaj Rulosu' (#165797)
[18:31:11	]C24:i5.(X)KING-19 has performed the 'Use Bandaj Rulosu' action, gaining 15 experience in medicine.
[18:31:11	]C24:i5.(X)KING-19's bleeding was stopped by C24:i5.(X)KING-19.
[18:31:11	]C24:i5.(X)KING-19 was bandaged by C24:i5.(X)KING-19 for 18 HP.
[18:31:12	]C24:RCT.YELLO-23 used command '/CharStopBleedout 19'.
[18:31:14	]C24:RCT.YELLO-23 ran SAM command 'bring' with arguments: '19'
[18:31:19	]C24:RCT.YELLO-23 exited observer at their location.
[18:31:25	]Barış has unloaded their "C24:i5.(X)KING-19" character.
[18:31:28	]Barış loaded the character 'C24:i5.(X)KING-19'
